Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01586914,0,0.03503782,0,0.5704651
0.03479004,0,0.02765206,0,0.5354309
0.04901123,0,0.0239619,0,0.507782
0.06640625,0,0.01666,0,0.4838257
0.08239746,0,0.009559959,0,0.4671631
0.09924316,0,0.006121606,0,0.4576111
0.1157837,0,-0.0004616678,0,0.4515076
0.1328735,0,-0.006564647,0,0.4519653
0.1488037,0,-0.009404272,0,0.4585266
0.1656494,0,-0.01460135,0,0.467926
0.182312,0,-0.01908526,0,0.4825439
0.1993408,0,-0.02103618,0,0.5016174
0.2155151,0,-0.02431637,0,0.522644
0.232666,0,-0.02672499,0,0.5469666
0.2511597,0,-0.02822441,0,0.5737
0.2657471,0,-0.02862579,0,0.6019287
0.2819824,0,-0.02872622,0,0.6305542
0.2996216,0,-0.02842617,0,0.6592712
0.3158569,0,-0.02713561,0,0.6876831
0.3322144,0,-0.02494991,0,0.7148132
0.3496094,0,-0.02353472,0,0.7397766
0.3652954,0,-0.02009535,0,0.7633057
0.3829346,0,-0.01590151,0,0.7833862
0.3987427,0,-0.01354665,0,0.7992859
0.4158325,0,-0.008377612,0,0.8128357
0.432373,0,-0.002680182,0,0.821228
0.4486084,0,0.00033319,0,0.8239441
0.4680176,0,0.006617308,0,0.8236084
0.4827271,0,0.01314491,0,0.8169861
0.4991455,0,0.01646149,0,0.8038635
0.5160522,0,0.02312189,0,0.7874146
0.5327148,0,0.02971423,0,0.7642822
0.5495605,0.006340073,0.03294587,0.02401543,0.7345581
0.5657349,0.03952352,0.03920478,0.1497103,0.6952515
0.5828247,0.09287965,0.04509395,0.3518169,0.6165161
0.598938,0.1286891,0.04786515,0.4874588,0.4785462
0.6160278,0.1801354,0.05299652,0.682331,0.302002
0.6327515,0.2106928,0.05750155,0.7980788,0.06884766
0.6489868,0.2363563,0.05949274,0.8952889,-0.1993423
0.6685181,0.2603486,0.06290661,0.986169,-0.4951914
0.6827393,0.2701365,0.06551233,1.023245,-0.8184467
0.6988525,0.2734787,0.06649685,1.035904,-1.154096
0.7160034,0.2645264,0.06780744,1.001994,-1.494071
0.7319946,0.2448312,0.06822322,0.9273908,-1.826405
0.7491455,0.2105735,0.06809321,0.7976267,-2.139459
0.7658081,0.1825227,0.06716168,0.6913738,-2.418126
0.7825317,0.1491005,0.06535304,0.5647746,-2.667811
0.7989502,0.08846312,0.06413031,0.3350876,-2.882264
0.8152466,0.04071717,0.06107795,0.1542317,-3.034858
0.8325195,0,0.05726671,0,-3.136653
0.8491821,0,0.05509853,0,-3.19392
0.8673096,0,0.05028832,0,-3.249019
0.8825073,0,0.04492188,0,-3.299307
0.8987427,0,0.04206097,0,-3.344229
0.9158325,0,0.03604949,0,-3.38629
0.9324341,-0.01827656,0.02974355,-0.06922941,-3.42234
0.9489136,-0.06041239,0.02651572,-0.2288348,-3.433807
