Time,CT,FF,Input,Pitch
0,0,-0.5704682,0,0
0.01794434,0,0.03503782,0,0.5704651
0.0329895,0,0.02765206,0,0.5354309
0.04928589,0,0.0239619,0,0.507782
0.0663147,0,0.01666,0,0.4838257
0.0826416,0,0.009559959,0,0.4671631
0.09939575,0,0.006121606,0,0.4576111
0.1161194,0,-0.0004616678,0,0.4515076
0.1337891,0,-0.006564647,0,0.4519653
0.1495667,0,-0.009404272,0,0.4585266
0.1668396,0,-0.01460135,0,0.467926
0.1832581,0,-0.01908526,0,0.4825439
0.1999512,0,-0.02103618,0,0.5016174
0.2166748,0,-0.02431637,0,0.522644
0.2348328,0,-0.02672499,0,0.5469666
0.2498474,0,-0.02759004,0,0.5737
0.2666016,0,-0.02862579,0,0.6012878
0.2828064,0,-0.02872622,0,0.6299133
0.2998047,0,-0.02842617,0,0.6586304
0.3164063,0,-0.02713561,0,0.6870422
0.333374,0,-0.02494991,0,0.7141724
0.3503113,0,-0.02191395,0,0.7391357
0.3670654,0,-0.02009535,0,0.7610474
0.3830261,0,-0.01590151,0,0.7811279
0.3994751,0,-0.01354665,0,0.7970276
0.4165039,0,-0.008377612,0,0.8105774
0.4332275,0,-0.002680182,0,0.8189697
0.4512329,0,0.0034374,0,0.8216553
0.4661255,0,0.006617308,0,0.8182068
0.4830933,0,0.01314491,0,0.8115845
0.4998474,0,0.01646149,0,0.7984314
0.5166626,0,0.02312189,0,0.7819824
0.5331116,0,0.02971423,0,0.7588501
0.5500793,0,0.03611445,0,0.729126
0.5663757,0,0.03920478,0,0.6930237
0.5831604,0,0.04509395,0,0.6538086
0.5994263,0,0.04786515,0,0.6087036
0.6156616,0,0.05299652,0,0.5608521
0.6325378,0,0.05750155,0,0.507843
0.6496277,0,0.05949274,0,0.4503479
0.6682739,0,0.06290661,0,0.3908691
0.6828003,0,0.06551233,0,0.3279724
0.6990051,0,0.06649685,0,0.2624512
0.7162781,0,0.06780744,0,0.1959534
0.7328186,0,0.06822322,0,0.1281433
0.7494812,0,0.06809321,0,0.05990601
0.767334,0,0.06716168,0,-0.008178924
0.7831726,0,0.06535304,0,-0.07534061
0.7998657,0,0.06413031,0,-0.1406937
0.8164978,0,0.06107795,0,-0.204824
0.8330078,0,0.05726671,0,-0.2659019
0.8493347,0,0.05509853,0,-0.3231687
0.8663635,0,0.05028832,0,-0.3782672
0.8852234,0,0.04492188,0,-0.4285555
0.9000549,0,0.03909898,0,-0.4734774
0.9163818,0,0.03604949,0,-0.5125764
0.9326172,0,0.02974355,0,-0.5486259
0.9501343,0,0.02325726,0,-0.5783695
0.966156,0,0.01998258,0,-0.6016268
0.9827881,0,0.01344264,0,-0.6216093
1.000244,0,0.007010221,0,-0.635052
1.016235,0,0.003868937,0,-0.6420622
1.033051,0,-0.002197385,0,-0.6459312
1.050232,0,-0.007892251,0,-0.643734
1.066376,0,-0.01057148,0,-0.6358418
1.084595,0,-0.01554143,0,-0.6252703
1.099426,0,-0.01781344,0,-0.6097289
1.116577,0,-0.02189088,0,-0.5919155
1.132935,0,-0.02530253,0,-0.5700247
1.14975,0,-0.02674544,0,-0.5447223
1.167145,0,-0.0290885,0,-0.5179768
1.182831,0,-0.0306952,0,-0.4888884
1.199615,0,-0.03122163,0,-0.4581932
