Time,CV,FF,Input
0,0,-0.791238,0
0.01516724,0,-0.7777878,0
0.03244019,0,-0.7500234,0
0.04882813,0,-0.7358032,0
0.06573486,0,-0.6923848,0
0.08247375,0,-0.6633232,0
0.09877014,0,-0.6489156,0
0.1151123,0,-0.6206132,0
0.1324768,0,-0.593346,0
0.1491241,0,-0.5802304,0
0.1676025,0,-0.5675273,0
0.1817932,0,-0.5435532,0
0.199585,0,-0.5323752,0
0.215744,0,-0.5118558,0
0.2325592,0,-0.4940503,0
0.2490997,0,-0.486255,0
0.265625,0,-0.4730349,0
0.2825775,0,-0.4631459,0
0.2994385,0,-0.4567465,0
0.3149872,0,-0.4539393,0
0.3320007,0,-0.4547684,0
0.3492432,0,-0.4565442,0
0.36763,0,-0.4627806,0
0.3821716,0,-0.4725033,0
0.3991699,0,-0.4786234,0
0.4153748,0,-0.4932536,0
0.4324341,0,-0.5108612,0
0.4490509,0,-0.5206915,0
0.4656067,0,-0.5421999,0
0.4818573,0,-0.5658689,0.06832513
0.4987335,3.297078E-05,-0.5783916,0.1949243
0.5156097,0.0001599971,-0.6045529,0.2754051
0.5322571,0.0004198967,-0.6318371,0.3920573
0.5488129,0.0008689344,-0.6457594,0.4607825
0.5657043,0.001540236,-0.6738763,0.5227256
0.5847321,0.002463649,-0.7019695,0.5955201
0.598938,0.003674249,-0.7158628,0.6353085
0.6154938,0.00519118,-0.7430583,0.669219
0.6320496,0.007030744,-0.7690991,0.701773
0.6490326,0.009208586,-0.781554,0.7203107
0.6652985,0.01173358,-0.8050833,0.7234758
0.6825867,0.01460719,-0.8264645,0.7203107
0.699585,0.01782782,-0.8362432,0.6845918
0.7155609,0.02137816,-0.8537888,0.6538463
0.7319183,0.02524331,-0.8684354,0.6253614
0.7493134,0.02940945,-0.8746027,0.5824081
0.766098,0.03385581,-0.8845169,0.5611575
0.7843628,0.03857207,-0.8911005,0.539907
0.7991638,0.04354792,-0.8931182,0.5331249
0.8153229,0.04878004,-0.8945866,0.5331249
0.832489,0.05426838,-0.8926497,0.5331249
0.8493347,0.06001288,-0.8904243,0.5439762
0.8654938,0.06601873,-0.8835292,0.5575404
0.8821106,0.07229243,-0.8735074,0.5909988
0.898407,0.07885007,-0.867385,0.6050152
0.9154663,0.08569834,-0.8530648,0.62084
0.9322662,0.09284484,-0.8362042,0.6285264
0.9487762,0.1002932,-0.826915,0.6398299
0.9654999,0.1080488,-0.8068232,0.6448035
0.9826965,0.1161141,-0.7850056,0.6533941
1.000839,0.124493,-0.761829,0.6579155
1.015488,0.1331877,-0.7498492,0.6624368
1.032639,0.1422004,-0.7253472,0.6637933
1.049316,0.1515316,-0.712921,0.6687669
1.065292,0.1611836,-0.6879557,0.6746447
1.082504,0.1711592,-0.6631487,0.6891131
1.099106,0.1814654,-0.6509163,0.6963474
1.115799,0.1921056,-0.6270046,0.7090073
1.132523,0.2030857,-0.6040916,0.7153373
1.149292,0.2144089,-0.5930999,0.7216672
1.165649,0.226078,-0.5722063,0.7234758
1.182541,0.238094,-0.5529502,0.7248322
1.198746,0.2504573,-0.543995,0.7248322
1.217239,0.2631679,-0.527523,0.7248322
1.232376,0.2762257,-0.5130574,0.7248322
1.24942,0.2896307,-0.5065988,0.7157894
1.265198,0.3033784,-0.4952463,0.7062945
1.282028,0.3174642,-0.4859672,0.6859481
1.298386,0.3318782,-0.482089,0.6787139
1.315506,0.3466168,-0.4757976,0.6665062
1.332199,0.3616741,-0.4713513,0.6325957
1.348465,0.3770337,-0.46977,0.5973287
1.365326,0.3926784,-0.4677703,0.5267949
1.382462,0.4085743,-0.4671366,0.4643996
1.399399,0.424691,-0.4672561,0.3689981
1.417648,0.4409826,-0.4682027,0.2631974
1.432037,0.4573979,-0.4698598,0.1234862
1.448944,0.4738696,-0.4708642,0
1.465561,0.4903379,-0.4730396,0
1.482788,0.506803,-0.4751885,0
1.498734,0.5232648,-0.4761607,0
1.515686,0.5397232,-0.4777206,0
1.532196,0.5561784,-0.4785382,-0.1329811
1.549088,0.5725661,-0.4785872,-0.3839187
1.566666,0.5887653,-0.4778149,-0.7148851
1.582565,0.6046162,-0.4757027,-0.8848896
1.59903,0.620037,-0.4740841,-1.021888
1.615524,0.6349616,-0.4696212,-1.162956
1.634476,0.649322,-0.4634173,-1.25248
1.648529,0.6630751,-0.4596318,-1.295885
1.665482,0.6762002,-0.4506551,-1.323918
1.682678,0.6886837,-0.4397838,-1.335221
1.698761,0.7005205,-0.4336401,-1.326178
1.715744,0.7117149,-0.4199642,-1.300858
1.732452,0.7222794,-0.4045047,-1.271469
1.74881,0.7322282,-0.3961408,-1.24841
1.765167,0.7415725,-0.3782343,-1.231229
1.782196,0.7503209,-0.3589017,-1.220377
1.798798,0.7584785,-0.3487625,-1.219473
1.815918,0.7660461,-0.3276778,-1.239367
1.835419,0.7730141,-0.305721,-1.251123
1.848923,0.779377,-0.2944964,-1.269661
1.865265,0.785126,-0.271725,-1.293624
1.882553,0.7902495,-0.2487579,-1.313066
1.899109,0.7947384,-0.2372899,-1.337029
1.915588,0.7985812,-0.2145639,-1.350142
1.932587,0.8017717,-0.1923522,-1.376818
1.949448,0.8042971,-0.181525,-1.384504
1.966431,0.806154,-0.1605923,-1.392643
1.982193,0.8073385,-0.1408275,-1.392643
1.999573,0.8078507,-0.1314549,-1.389478
2.023239,0.8076922,-0.1056826,-1.380435
2.051193,0.8068677,-0.08387588,-1.369584
2.065582,0.8053825,-0.0775682,-1.365514
2.082016,0.8032386,-0.06646787,-1.365062
2.098846,0.8004363,-0.06169154,-1.36461
2.115616,0.7969761,-0.05370994,-1.361445
2.131958,0.7928596,-0.04782701,-1.35828
2.149155,0.7880884,-0.04566544,-1.350594
2.16629,0.7826665,-0.04286845,-1.33929
2.18251,0.7765993,-0.04203686,-1.323013
2.199692,0.769895,-0.04232466,-1.310353
2.215378,0.7625596,-0.04422472,-1.295433
2.232803,0.7546006,-0.04776174,-1.27373
2.250992,0.7460285,-0.05276184,-1.238915
2.265762,0.7368603,-0.05575124,-1.213595
2.282394,0.7271083,-0.0625826,-1.185111
2.299316,0.7167863,-0.0663723,-1.152104
2.316452,0.7059104,-0.07456644,-1.107342
2.332092,0.6945024,-0.08340163,-1.079762
2.349091,0.6825756,-0.08799331,-1.039974
2.365814,0.6701493,-0.09739605,-1.016462
2.382553,0.657235,-0.1069279,-0.979387
2.399124,0.6438506,-0.1116846,-0.9545193
2.41539,0.6300084,-0.121074,-0.9314601
2.432556,0.6157194,-0.1301741,-0.8961933
2.448608,0.6010008,-0.1345749,-0.8713255
2.467377,0.5858647,-0.1430111,-0.8337979
2.482666,0.5703292,-0.1508925,-0.8048609
2.499496,0.5544085,-0.154607,-0.7718548
2.515701,0.5381185,-0.1615641,-0.7243801
2.533264,0.5214822,-0.1678892,-0.6877567
2.549255,0.5045173,-0.1708212,-0.6429949
2.565887,0.4872456,-0.1762534,-0.6063715
2.582336,0.4696846,-0.1811704,-0.568844
2.599258,0.4518526,-0.183465,-0.5073529
2.615234,0.4337794,-0.1877979,-0.4639475
2.632446,0.4154859,-0.1919017,-0.3934137
2.649277,0.3970062,-0.1939142,-0.3454868
2.667969,0.3783635,-0.1979621,-0.2726924
2.682281,0.3595929,-0.2021844,-0.2234091
2.698654,0.3407182,-0.2044167,-0.1768387
2.716187,0.321762,-0.209237,-0.1085656
2.732773,0.3027572,-0.2146819,-0.06289946
2.749512,0.2837258,-0.2176936,-0.01813758
2.765671,0.2646895,-0.2244006,0
2.782654,0.245657,-0.2321486,0
2.798981,0.2266282,-0.2364574,0
2.81572,0.2076033,-0.2460212,0
2.832642,0.1885822,-0.2569306,0
2.848633,0.1695649,-0.2629147,0
2.866455,0.1505515,-0.2759745,0
2.884186,0.1315418,-0.2905086,0
2.89856,0.1125359,-0.2983276,0
2.915527,0.09353378,-0.3150476,0
2.932617,0.0745355,-0.3331545,0
2.948318,0.05554101,-0.3426985,0
2.965683,0.03655032,-0.362689,0
2.982895,0.01756343,-0.3837526,0
2.999344,-0.001419665,-0.3946301,0
3.015594,-0.02039896,-0.4169467,0
3.032196,-0.03937446,-0.4398187,0
3.048782,-0.05834617,-0.4513848,0
3.066513,-0.07731408,-0.4746094,0
3.08252,-0.0962782,-0.497722,0.04888309
3.100586,-0.1152149,-0.5204306,0.1800036
3.115723,-0.134061,-0.5315406,0.3097678
3.132645,-0.1527539,-0.5530853,0.5073529
3.149033,-0.1711982,-0.5634463,0.6366649
3.165955,-0.1893317,-0.5831656,0.8288243
3.182861,-0.2070615,-0.601318,0.9251302
3.19931,-0.2243414,-0.609725,1.044947
3.216049,-0.2411136,-0.6250502,1.213143
3.232819,-0.2572971,-0.638211,1.317135
3.24939,-0.2728417,-0.6439202,1.447804
3.265579,-0.2876846,-0.6534974,1.507034
3.282013,-0.3017973,-0.6605172,1.553152
3.299103,-0.3151577,-0.66304,1.597462
3.317902,-0.3277445,-0.6660798,1.605149
3.33255,-0.3395543,-0.6664382,1.589776
3.349564,-0.3505946,-0.6656207,1.561743
3.36554,-0.360879,-0.6620363,1.539136
3.382919,-0.3704186,-0.6559479,1.509295
3.399506,-0.379228,-0.6520115,1.495278
3.415497,-0.3873141,-0.642473,1.480358
3.4319,-0.3946842,-0.6309046,1.480358
3.44928,-0.4013385,-0.6244403,1.493922
3.465714,-0.4072705,-0.6103345,1.529189
3.481873,-0.4124634,-0.5949274,1.554057
3.498703,-0.4169054,-0.5868432,1.594297
3.516327,-0.4205771,-0.5701413,1.624591
3.533722,-0.4234641,-0.553045,1.673422
