Time,CV,FF,Input
0,0,-0.791238,0
0.01574707,0,-0.7777878,0
0.03271484,0,-0.7500234,0
0.06079102,0,-0.6923848,0
0.08300781,0,-0.6633232,0
0.09924316,0,-0.6489156,0
0.1165771,0,-0.6206132,0
0.1351318,0,-0.593346,0
0.149292,0,-0.5802304,0
0.1661377,0,-0.5675273,0
0.182373,0,-0.5435532,0
0.1992188,0,-0.5323752,0
0.2260742,0,-0.5025952,0
0.2497559,0,-0.486255,0
0.2661133,0,-0.4730349,0
0.2825928,0,-0.4631459,0
0.2991943,0,-0.4567465,0
0.3161621,0,-0.4539393,0
0.3328857,0,-0.4547684,0
0.3510742,0,-0.4592187,0
0.3764648,0,-0.4672149,0
0.3990479,0,-0.4786234,0.113087
0.4160156,5.457092E-05,-0.4932536,0.2564153
0.4328613,0.0002328659,-0.5108612,0.3545296
0.449707,0.0005822061,-0.5206915,0.4463141
0.4761963,0.001146848,-0.5537882,0.6258135
0.4997559,0.002013369,-0.5783916,0.7736633
0.5161133,0.003253052,-0.6045529,0.8387715
0.541626,0.004897243,-0.6457594,0.9282951
0.5667725,0.006989061,-0.6738763,0.9644663
0.5963135,0.00954587,-0.7158628,0.9789348
0.616333,0.01257456,-0.7430583,0.9640142
0.6326904,0.01606784,-0.7690991,0.9034275
0.6494141,0.01999637,-0.781554,0.8658999
0.6665039,0.02434196,-0.8050833,0.7980788
0.694458,0.02907181,-0.8362432,0.6963474
0.7097168,0.03413673,-0.845363,0.6244571
0.7324219,0.03950198,-0.8684354,0.4888152
0.7496338,0.04510204,-0.8746027,0.3179063
0.7681885,0.05085439,-0.8845169,0.1904029
0.7827148,0.05669747,-0.8911005,0
0.7998047,0.06253937,-0.8931182,0
0.8271484,0.06838011,-0.8940406,0
0.8432617,0.07421968,-0.8904243,0
0.8662109,0.08005808,-0.8835292,0
0.8831787,0.08589531,-0.8735074,0
0.8990479,0.09173138,-0.867385,0
0.9162598,0.09756628,-0.8530648,0
0.9328613,0.1034,-0.8362042,0
0.9493408,0.1092326,-0.826915,0
0.9656982,0.115064,-0.8068232,0
0.9844971,0.1208942,-0.7850056,0
1.008789,0.1267233,-0.761829,0
1.032959,0.1325512,-0.7253472,0
1.049805,0.1383779,-0.712921,0
1.065796,0.1442035,-0.6879557,0
1.08313,0.1500279,-0.6631487,0
1.098999,0.1558511,-0.6509163,0
1.116211,0.1616732,-0.6270046,0
1.13269,0.1674941,-0.6040916,0
1.150146,0.1733139,-0.5824616,0
1.176025,0.1791325,-0.5623611,0.009546953
1.199219,0.1849545,-0.543995,0.04978738
1.217041,0.1907994,-0.527523,0.05973445
1.232666,0.1966719,-0.5130574,0.06968153
1.25,0.2025769,-0.5006616,0.07420292
1.266113,0.2085166,-0.4952463,0.07601149
1.292358,0.2144917,-0.482089,0.07601149
1.323975,0.2205023,-0.4733532,0.05928234
1.342529,0.2265403,-0.46977,0.01497263
1.366821,0.2325843,-0.4677703,0
1.391968,0.2386271,-0.4672561,0
1.415649,0.2446687,-0.4682027,0
1.433228,0.2507091,-0.4698598,0
1.449219,0.2567483,-0.4708642,0
1.466309,0.2627863,-0.4730396,0
1.491699,0.2688231,-0.4761607,0
1.509033,0.2748586,-0.4770165,0
1.532593,0.280893,-0.4785382,0
1.549683,0.2869262,-0.4785872,0
1.566528,0.2929581,-0.4778149,0
1.58313,0.2989888,-0.4757027,0
1.599731,0.3050184,-0.4740841,0
1.618164,0.3110467,-0.4696212,-0.05973445
1.642456,0.317045,-0.4596318,-0.2433033
1.666138,0.3229247,-0.4506551,-0.3576947
1.682373,0.3286307,-0.4397838,-0.4223507
1.699829,0.3341316,-0.4336401,-0.5064486
1.716553,0.3393871,-0.4199642,-0.5512105
1.741821,0.3443755,-0.3961408,-0.5955201
1.766968,0.3490756,-0.3782343,-0.5973287
1.782715,0.3534864,-0.3589017,-0.5900944
1.80896,0.3576117,-0.3383447,-0.5742697
1.832764,0.361459,-0.305721,-0.5670354
1.859375,0.3650319,-0.2831529,-0.5634183
1.882935,0.3683322,-0.2487579,-0.568844
1.89978,0.3713574,-0.2372899,-0.5801474
1.916138,0.3741019,-0.2145639,-0.5864774
1.933228,0.376563,-0.1923522,-0.5896424
1.959595,0.3787389,-0.1709278,-0.5896424
1.975586,0.38063,-0.1505492,-0.5896424
1.999023,0.3822361,-0.1314549,-0.5923553
2.016113,0.383556,-0.1138591,-0.5932595
2.034546,0.3845894,-0.0979481,-0.6054673
2.049927,0.3853304,-0.09067381,-0.6149622
2.06604,0.3857746,-0.0775682,-0.6325957
2.093262,0.3859133,-0.06169154,-0.6642454
2.108398,0.3857315,-0.05743812,-0.6931823
2.132324,0.3852153,-0.04782701,-0.7365878
2.149292,0.3843437,-0.04566544,-0.7858711
2.16687,0.3830931,-0.04286845,-0.817973
2.193115,0.381448,-0.04232466,-0.8903154
2.215942,0.3793736,-0.04422472,-0.9432158
2.232544,0.3768444,-0.04776174,-0.9875255
2.250854,0.3738392,-0.05276184,-1.025957
2.276001,0.3703395,-0.05903346,-1.050373
2.291382,0.3663336,-0.0663723,-1.059868
2.315796,0.3618171,-0.07456644,-1.048112
2.332642,0.3567957,-0.08340163,-1.018723
2.349609,0.3512837,-0.08799331,-0.9707963
2.365845,0.3453043,-0.09739605,-0.934173
2.383545,0.3388754,-0.1069279,-0.8776554
2.409424,0.3320242,-0.1164065,-0.8129995
2.425415,0.3247821,-0.1256688,-0.7474391
2.450562,0.3171808,-0.1388577,-0.6782618
2.466187,0.3092537,-0.1430111,-0.6298828
2.482422,0.3010242,-0.1508925,-0.5652269
2.499756,0.2925236,-0.154607,-0.5231778
2.526367,0.2837722,-0.1648048,-0.4449576
2.549561,0.2748079,-0.1708212,-0.3789453
2.566162,0.2656625,-0.1762534,-0.352269
2.591309,0.256349,-0.183465,-0.300725
2.617065,0.2468923,-0.1877979,-0.2482768
2.643311,0.2373176,-0.1939142,-0.1628223
2.666138,0.2276662,-0.1979621,-0.08686284
2.683105,0.2179749,-0.2021844,-0.005025554
2.699097,0.2082831,-0.2044167,0
2.716431,0.1985933,-0.209237,0
2.74353,0.1889054,-0.2176936,0
2.758545,0.1792194,-0.2209265,0
2.782593,0.1695354,-0.2321486,0
2.799072,0.1598533,-0.2364574,0
2.816406,0.1501732,-0.2460212,0
2.83252,0.140495,-0.2569306,0
2.849854,0.1308187,-0.2629147,0
2.867798,0.1211443,-0.2759745,0
2.892578,0.1114719,-0.2983276,0
2.915649,0.1018014,-0.3150476,0
2.932861,0.0921329,-0.3331545,0
2.949585,0.08246629,-0.3426985,0
2.966431,0.07280161,-0.362689,0
2.983154,0.06313886,-0.3837526,0
2.998779,0.05347805,-0.3946301,0
3.016602,0.04381917,-0.4169467,0
3.032471,0.03416223,-0.4398187,0
3.059326,0.02450721,-0.4629932,0.2568674
3.082886,0.01497807,-0.497722,0.6235529
3.111694,0.00575173,-0.5315406,1.005159
3.132446,-0.002987742,-0.5530853,1.269661
3.149414,-0.01111276,-0.5634463,1.432431
3.166382,-0.01854489,-0.5831656,1.570786
3.18335,-0.02521758,-0.601318,1.74079
3.209595,-0.0310489,-0.6176452,1.904465
3.22522,-0.03596005,-0.6319136,1.955557
3.24939,-0.03992656,-0.6439202,2.006196
3.266724,-0.04292417,-0.6534974,2.014335
3.28479,-0.04494912,-0.6605172,1.993989
3.300049,-0.04601142,-0.6648953,1.952844
3.31665,-0.04613113,-0.6660798,1.910343
3.343994,-0.04532896,-0.6656207,1.830766
3.359375,-0.0436435,-0.6641494,1.788265
3.383423,-0.04109544,-0.6559479,1.715019
3.400024,-0.03772029,-0.6475109,1.67523
3.416016,-0.03353742,-0.642473,1.624139
3.433594,-0.02857165,-0.6309046,1.60334
3.457886,-0.02283316,-0.6175707,1.573047
3.484375,-0.01633675,-0.5949274,1.5631
3.499268,-0.009087343,-0.5868432,1.563552
3.524658,-0.001084886,-0.5616183,1.572142
3.549438,0.007674619,-0.5444707,1.573047
3.574951,0.01719145,-0.5192364,1.561743
3.599121,0.02746002,-0.503313,1.542753
3.616089,0.038471,-0.4885579,1.528285
3.632813,0.05021726,-0.4753371,1.501156
3.650269,0.06268556,-0.4639918,1.478549
3.675049,0.07586487,-0.4548316,1.436953
3.699951,0.08973494,-0.4457712,1.386313
3.716309,0.1042712,-0.4441102,1.356472
3.733154,0.1194592,-0.4429569,1.315327
3.749146,0.1352788,-0.4434964,1.22309
3.766724,0.1516855,-0.4468611,1.135827
3.793823,0.168637,-0.4576754,0.9219652
3.816528,0.18603,-0.468685,0.6904696
3.842407,0.2037527,-0.4906398,0.5331249
3.866211,0.2217292,-0.5086469,0.3513646
3.883301,0.2398716,-0.5290744,0.274953
3.911011,0.258143,-0.5635989,0.1583009
3.932495,0.2764872,-0.5886957,0.09047996
3.949707,0.2948714,-0.601723,0.02763255
3.966187,0.3132652,-0.6284735,0
3.983032,0.3316554,-0.6557851,0
4.008057,0.3500419,-0.6832013,0
4.02478,0.3684247,-0.7102563,0
4.049072,0.3868039,-0.7364799,0
4.06604,0.4051793,-0.7614087,0
4.082642,0.4235511,-0.7845929,0
4.099121,0.4419192,-0.7953957,0
4.11792,0.4602837,-0.8151686,0
4.132568,0.4786445,-0.832183,0
4.149658,0.4970016,-0.839547,0
4.175537,0.515355,-0.851795,0
4.199097,0.5337048,-0.8605136,0
4.216309,0.5520508,-0.8654824,0
4.233276,0.5703933,-0.866536,0
4.249268,0.588732,-0.8655591,0
4.266113,0.6070671,-0.8605593,0
4.283081,0.6253985,-0.8514907,0
4.298828,0.6437263,-0.8454419,0
