Time,CV,FF,Input
0,0,-0.791238,0
0.01531982,0,-0.7777878,0
0.03240967,0,-0.7500234,0
0.04919434,0,-0.7358032,0
0.06555176,0,-0.6923848,0
0.08227539,0,-0.6633232,0
0.1090088,0,-0.6346613,0
0.1339722,0,-0.593346,0
0.1494141,0,-0.5802304,0
0.1657104,0,-0.5675273,0
0.182312,0,-0.5435532,0
0.1985474,0,-0.5323752,0
0.2158203,0,-0.5118558,0
0.2324829,0,-0.4940503,0
0.258728,0,-0.4792406,0
0.2819824,0,-0.4631459,0
0.2984009,0,-0.4567465,0
0.3162842,0,-0.4539393,0
0.3344727,0,-0.4547684,0
0.3488159,0,-0.4565442,0
0.366272,0,-0.4627806,0
0.3832397,0,-0.4725033,0
0.4092407,0,-0.4855499,0
0.4320068,0,-0.5108612,0
0.4489136,0,-0.5206915,0
0.4653931,0,-0.5421999,0
0.482605,0,-0.5658689,0
0.4992065,0,-0.5783916,0.06470802
0.5160522,3.122531E-05,-0.6045529,0.2188877
0.5320435,0.0001680702,-0.6318371,0.3228799
0.5513916,0.0004606958,-0.6597918,0.4797724
0.5767212,0.0009847805,-0.6879548,0.7008688
0.5988159,0.00184697,-0.7158628,0.8419365
0.6251221,0.003115269,-0.7562499,0.9531628
0.6484375,0.00484327,-0.781554,1.04766
0.6658325,0.007076481,-0.8050833,1.073884
0.6827393,0.009827456,-0.8264645,1.075241
0.6992798,0.01309675,-0.8362432,1.066198
0.7161865,0.01687988,-0.8537888,1.019175
0.743103,0.02115408,-0.8746027,0.9314601
0.7651367,0.02587689,-0.8845169,0.8609263
0.7824707,0.03101422,-0.8911005,0.8075738
0.7994995,0.03654021,-0.8931182,0.7081031
0.8153687,0.0424068,-0.8945866,0.62717
0.8329468,0.04857486,-0.8926497,0.4770596
0.8595581,0.0549719,-0.8873783,0.3025335
0.883728,0.06151364,-0.8735074,0.05114382
0.9101563,0.06807876,-0.8530648,0
0.9317017,0.07464257,-0.8362042,0
0.9497681,0.08120506,-0.826915,0
0.9785767,0.08776625,-0.7961076,0
0.9992065,0.09432611,-0.7735636,0
1.016113,0.1008847,-0.7498492,0
1.032166,0.1074419,-0.7253472,0
1.049011,0.1139978,-0.712921,0
1.076355,0.1205525,-0.6755098,0
1.098572,0.1271058,-0.6509163,0
1.11615,0.1336578,-0.6270046,0
1.132446,0.1402084,-0.6040916,0
1.149231,0.1467578,-0.5930999,0
1.165955,0.1533059,-0.5722063,0
1.185181,0.1598526,-0.5529502,0
1.198669,0.1663981,-0.543995,0
1.215454,0.1729422,-0.527523,0
1.253906,0.1794851,-0.5006616,0
1.265503,0.1860266,-0.4952463,0
1.298279,0.1925668,-0.482089,0
1.314697,0.1991057,-0.4757976,0
1.331421,0.2056433,-0.4713513,0
1.347656,0.2121796,-0.46977,0
1.364441,0.2187146,-0.4677703,0
1.381531,0.2252483,-0.4671366,0
1.409607,0.2317806,-0.4676228,0
1.431152,0.2383117,-0.4698598,0
1.447876,0.2448415,-0.4708642,0
1.464783,0.2513699,-0.4730396,0
1.481506,0.2578971,-0.4751885,0
1.498596,0.2644229,-0.4761607,0
1.51593,0.2709475,-0.4777206,0
1.532288,0.2774707,-0.4785382,0
1.55896,0.2839926,-0.4783555,0
1.582153,0.2905132,-0.4757027,0
1.601135,0.2970326,-0.4720629,0
1.616577,0.3035506,-0.4696212,0
1.632385,0.3100673,-0.4634173,0
1.648804,0.3165827,-0.4596318,0
1.666748,0.3230968,-0.4506551,0
1.683472,0.3296096,-0.4397838,0
1.710938,0.3361211,-0.4199642,-0.04210102
1.732483,0.342611,-0.4045047,-0.1962807
1.757751,0.3490049,-0.3873772,-0.3644768
1.782043,0.3552216,-0.3589017,-0.4824852
1.799072,0.3612042,-0.3487625,-0.5195606
1.817749,0.3669349,-0.3276778,-0.5489498
1.832825,0.3723996,-0.305721,-0.552567
1.860107,0.3775965,-0.271725,-0.5213692
1.875366,0.3825409,-0.2602481,-0.4996665
1.899109,0.3872431,-0.2372899,-0.452644
1.915222,0.3917259,-0.2145639,-0.3938659
1.932312,0.3960178,-0.1923522,-0.3495561
1.949097,0.4001401,-0.181525,-0.2767616
1.974976,0.4041281,-0.1505492,-0.2008021
1.998901,0.4080184,-0.1314549,-0.08460217
2.016174,0.4118671,-0.1138591,-0.02491971
2.043335,0.4157029,-0.09067381,0
2.065796,0.419538,-0.0775682,0
2.093445,0.4233724,-0.06169154,0
2.115356,0.4272059,-0.05370994,0
2.132507,0.4310387,-0.04782701,0
2.149231,0.4348707,-0.04566544,0
2.166199,0.438702,-0.04286845,0
2.190796,0.4425325,-0.04232466,0
2.214844,0.4463623,-0.04422472,0
2.232178,0.4501912,-0.04776174,0
2.250793,0.4540194,-0.05276184,0
2.265381,0.4578469,-0.05575124,-0.0705858
2.282227,0.4616395,-0.0625826,-0.300725
2.299683,0.4652862,-0.0663723,-0.4653039
2.327698,0.4687077,-0.07891724,-0.8057653
2.34082,0.4717397,-0.08799331,-0.979387
2.365601,0.4742984,-0.09739605,-1.313518
2.382263,0.4762228,-0.1069279,-1.460916
2.399414,0.4774418,-0.1116846,-1.640415
2.416626,0.477869,-0.121074,-1.726322
2.4422,0.4774631,-0.1345749,-1.792787
2.465027,0.4761921,-0.1430111,-1.746216
2.481934,0.4740787,-0.1508925,-1.660762
2.507935,0.4711644,-0.1581648,-1.556769
2.532471,0.4674994,-0.1678892,-1.396712
2.558716,0.463161,-0.1736067,-1.221282
2.582275,0.4582342,-0.1811704,-1.076597
2.599243,0.4527889,-0.183465,-0.979387
2.615417,0.446872,-0.1877979,-0.8396757
2.631653,0.4405512,-0.1919017,-0.7569342
2.65033,0.4338663,-0.1959273,-0.6298828
2.678528,0.4268789,-0.2000404,-0.4648518
2.698669,0.4196685,-0.2044167,-0.3599553
2.715698,0.4122858,-0.209237,-0.3002729
2.733032,0.4047597,-0.2146819,-0.2351647
2.748718,0.3971216,-0.2176936,-0.210297
2.765991,0.3893836,-0.2244006,-0.2017064
2.794922,0.3815497,-0.2364574,-0.2428511
2.815552,0.3736003,-0.2460212,-0.2826394
2.842041,0.3655161,-0.2629147,-0.339157
2.865479,0.3572698,-0.2759745,-0.3708067
2.884888,0.3488462,-0.2905086,-0.3861795
2.910095,0.3402379,-0.3150476,-0.3888923
2.931519,0.3314437,-0.3331545,-0.3549818
2.949158,0.3224799,-0.3426985,-0.3075071
2.966003,0.3133696,-0.362689,-0.2636496
2.99176,0.3041338,-0.3946301,-0.2143663
3.009949,0.2947965,-0.4057041,-0.1673437
3.031616,0.2853802,-0.4398187,-0.1148955
3.048828,0.2759104,-0.4513848,-0.0751072
3.066101,0.2664062,-0.4746094,0
3.084595,0.256904,-0.497722,0
3.099548,0.2474036,-0.5091453,0
3.125061,0.2379051,-0.5424379,0
3.141479,0.2284086,-0.5634463,0
3.166077,0.2189139,-0.5831656,0
3.182373,0.2094211,-0.601318,0
3.198792,0.1999303,-0.609725,0
3.216248,0.1904413,-0.6250502,0
3.233215,0.1809542,-0.638211,0.1171562
3.249329,0.1715256,-0.6439202,0.2763095
3.266296,0.1622321,-0.6534974,0.5091615
3.284424,0.1531862,-0.6605172,0.6637933
3.30896,0.1444624,-0.6648953,0.9689877
3.332581,0.1362079,-0.6664382,1.172903
3.35968,0.128521,-0.6641494,1.416154
3.38208,0.121519,-0.6559479,1.611026
3.399109,0.1152958,-0.6520115,1.68789
3.416809,0.1098885,-0.642473,1.77651
3.431824,0.1053394,-0.6309046,1.823984
3.449646,0.1016715,-0.6244403,1.860608
3.476624,0.09890217,-0.6027726,1.899944
3.498291,0.09705023,-0.5868432,1.904917
3.515198,0.09611788,-0.5701413,1.903561
3.531738,0.09610427,-0.553045,1.887284
3.549011,0.09700138,-0.5444707,1.86739
3.565796,0.09879944,-0.5275169,1.859251
3.594177,0.1014943,-0.503313,1.849304
3.616089,0.1050811,-0.4885579,1.839357
3.641968,0.1095547,-0.4694099,1.796404
3.66571,0.1148943,-0.4591206,1.732652
3.683289,0.1210689,-0.4511575,1.624139
3.710083,0.1280261,-0.4441102,1.382696
3.732056,0.135649,-0.4429569,1.152104
3.749146,0.1438265,-0.4434964,0.9843605
3.765625,0.1524772,-0.4468611,0.7374921
3.781738,0.1614822,-0.4533031,0.575626
3.808105,0.1707631,-0.4628064,0.3061506
3.824585,0.1801899,-0.4752964,0.2021585
3.84845,0.1897123,-0.4906398,0.09816637
3.865845,0.1992802,-0.5086469,0.09590563
3.882202,0.2088925,-0.5290744,0.1754822
3.899048,0.2185876,-0.5401058,0.2414947
3.91803,0.2283972,-0.5635989,0.3255927
3.9422,0.238362,-0.601723,0.416925
3.958069,0.248526,-0.6150003,0.4992144
3.981934,0.2589289,-0.6557851,0.5665832
3.99939,0.269603,-0.6695091,0.6185793
4.01532,0.2805736,-0.6968034,0.6420906
4.032593,0.2918518,-0.7235013,0.6588197
4.058899,0.3034457,-0.7491348,0.6561069
4.082886,0.3153539,-0.7845929,0.581956
4.099182,0.3275405,-0.7953957,0.5426198
4.128601,0.3399865,-0.8240431,0.4571654
4.149353,0.3526506,-0.839547,0.3558861
4.175232,0.365484,-0.851795,0.1460932
4.199585,0.3783852,-0.8605136,0
4.215698,0.3912839,-0.8654824,0
4.23175,0.40418,-0.866536,0
4.249512,0.4170736,-0.8655591,0
4.276123,0.4299645,-0.8565323,0
4.292542,0.4428529,-0.8454419,0
4.317932,0.4557387,-0.8303704,-0.3617639
4.331909,0.4684473,-0.8114488,-0.5313164
4.348938,0.480897,-0.8006002,-0.6845918
4.365051,0.4930139,-0.7762681,-0.8220423
4.382141,0.5047317,-0.7486451,-0.9780305
4.415466,0.5159751,-0.7017166,-1.114577
4.437927,0.5266785,-0.6672794,-1.191441
4.448608,0.5368048,-0.6492579,-1.210882
4.480652,0.5463448,-0.5730062,-1.222186
4.497986,0.555293,-0.5531644,-1.200936
4.52356,0.56366,-0.4926208,-1.176068
4.547363,0.5714577,-0.4519362,-1.140349
4.564392,0.5787036,-0.4114707,-1.114577
4.590881,0.5854102,-0.352023,-1.014654
4.614685,0.5916259,-0.3137394,-0.8885068
4.641052,0.5974115,-0.2591118,-0.6787139
4.664612,0.6028685,-0.2249389,-0.4508354
4.682373,0.6081069,-0.1928086,-0.3359919
4.698975,0.613182,-0.177561,-0.1863336
4.716858,0.6181662,-0.1487772,-0.09907064
4.74231,0.6231017,-0.1100187,0
