Time,CV,FF,Input
0,0,0.805491,0
0.01541138,0,0.8039248,0
0.0348053,0,0.7974825,0
0.04884338,0,0.7926365,0
0.07688904,0,0.7630156,0
0.09933472,0,0.7425783,0
0.1152039,0,0.7188938,0
0.1324921,0,0.6924225,0
0.1490936,0,0.6783011,0
0.165863,0,0.6636803,0
0.1820374,0,0.633228,0
0.1990967,0,0.6175454,0
0.2283783,0,0.5695921,0
0.2488251,0,0.5376484,0
0.2686157,0,0.5064486,0
0.2852478,0,0.4765949,0
0.3023529,0,0.4355784,0
0.3191986,0,0.423172,0
0.3356934,0,0.4006096,0
0.3518066,0,0.3813854,0
0.3751068,0,0.3658406,0
0.3932343,0,0.354237,0
0.4153595,0,0.3467513,0
0.4323273,0,0.3434716,0
0.4504547,0,0.3443953,-0.0005041559
0.4665985,-2.43284E-07,0.3464077,-0.0339625
0.482132,-1.68663E-05,0.3534332,-0.07375081
0.4992981,-6.907497E-05,0.3583899,-0.1397632
0.5253143,-0.0001887138,0.3785886,-0.2319997
0.5460815,-0.0004202834,0.3960258,-0.2726924
0.5650787,-0.0007833965,0.4161216,-0.3305663
0.5823059,-0.001305974,0.438364,-0.3744238
0.5985565,-0.002009125,0.4501164,-0.3902487
0.6160126,-0.002900456,0.4745148,-0.3970309
0.6417389,-0.00398322,0.5121875,-0.3956744
0.6658173,-0.00525671,0.5370958,-0.3861795
0.6830597,-0.006716313,0.561097,-0.3861795
0.7077789,-0.008361991,0.5835679,-0.3866316
0.7328644,-0.01019393,0.6131068,-0.3870837
0.7609406,-0.01221232,0.6360142,-0.3857273
0.7822266,-0.01441645,0.6468043,-0.3766845
0.7985229,-0.01680193,0.6507018,-0.3762323
0.8155518,-0.01936851,0.6552907,-0.3703546
0.8326569,-0.0221133,0.6553783,-0.3527211
0.84935,-0.02502773,0.6536682,-0.345939
0.8784332,-0.02810854,0.6413286,-0.3414176
0.8990784,-0.03135351,0.6270372,-0.3350876
0.9150085,-0.03475954,0.6079368,-0.3310184
0.9321442,-0.03832465,0.5841551,-0.323332
0.9497681,-0.04204507,0.5705694,-0.3061506
0.9774017,-0.04591246,0.5234317,-0.2564153
0.999054,-0.0499028,0.4871012,-0.2360691
1.016022,-0.05400624,0.4472963,-0.2216005
1.042679,-0.0582158,0.382044,-0.1949243
1.066177,-0.06251857,0.3355474,-0.1537795
1.094757,-0.06689467,0.2625792,-0.1072092
1.11615,-0.07132161,0.2125401,-0.07827221
1.133301,-0.07578542,0.161984,-0.06470802
