Time,CT,FF,Input,Pitch
0,0,-0.3867554,0,0
0.01562023,0,0,0,0.3867493
0.03421926,0,0,0,0.3867493
0.04837418,0,0,0,0.3867493
0.06453991,0,0,0,0.3867493
0.08158684,0,0,0,0.3867493
0.098382,0,0,0,0.3867493
0.1146007,0,0,0,0.3867493
0.1322341,0,-0.1009808,0,0.3867493
0.1484718,0,0,0,0.4877625
0.1648021,0,0,0,0.4877625
0.1811643,0,0,0,0.4877625
0.1979699,0,0,0,0.4877625
0.2149549,0,0,0,0.4877625
0.2318139,0,-0.2698416,0,0.4877625
0.2510495,0,0,0,0.7575989
0.2649493,0,0,0,0.7575989
0.2811561,0,0,0,0.7575989
0.2983866,0,0,0,0.7575989
0.3149281,0,0,0,0.7575989
0.3315091,0,-0.2192127,0,0.7575989
0.3482985,0,0,0,0.9768066
0.365099,0,0,0,0.9768066
0.3816724,0,0,0,0.9768066
0.3978624,0,0,0,0.9768066
0.4147158,0,0,0,0.9768066
0.43186,0,0.02217191,0,0.9768066
0.4500065,0,0,0,0.9546204
0.4647322,0,0,0,0.9546204
0.4815311,0,0,0,0.9546204
0.49825,0,0,0,0.9546204
0.5150461,0,0,0,0.9546204
0.5318575,0,0.3424898,0,0.9546204
0.5489736,0,0,0,0.6121216
0.5651193,0,0,0,0.6121216
0.5815125,0,0,0,0.6121216
0.5986667,0,0,0,0.6121216
0.6157122,0,0,0,0.6121216
0.6324992,0,0.5963539,0,0.6121216
0.6506624,0,0,0,0.01577759
0.6651893,0,0,0,0.01577759
0.6816149,0.02421866,0,0.05585056,0.01577759
0.6985002,0.07427713,0,0.1666249,-0.008452131
0.7149262,0.1199685,0,0.2766456,-0.08272927
0.7318096,0.1377498,0.6702636,0.3090489,-0.2026978
0.7485576,0.1413063,0,0.3195988,-1.010711
0.7650375,0.1111808,0,0.2555457,-1.152017
0.7814913,0.06877913,0,0.1583356,-1.263198
0.7984753,0.01490541,0,0.03324357,-1.331977
0.8152409,0,0,0,-1.346883
0.8314753,0,0.5331177,0,-1.346883
0.8483372,0,0,0,-1.88
0.8671389,0,0,0,-1.880001
0.8815622,0,0,0,-1.880001
0.8984046,0,0,0,-1.880001
0.9147139,0,0,0,-1.880001
0.9312348,0,0.2479287,0,-1.880001
0.9479747,0,0,0,-2.12793
0.9649429,0,0,0,-2.127931
0.9817548,0,0,0,-2.127931
0.9982996,0,0,0,-2.127932
1.01491,0,0,0,-2.127932
1.03179,0,-0.06056297,0,-2.127933
1.048074,0,0,0,-2.067369
1.064994,0,0,0,-2.067369
1.083637,0,0,0,-2.067369
1.098169,0,0,0,-2.067369
1.115294,0,0,0,-2.067369
1.131379,0,-0.2665517,0,-2.067369
1.148937,0,0,0,-1.800818
1.165079,0,0,0,-1.800819
1.181761,0,0,0,-1.800819
1.198472,0,0,0,-1.80082
1.215185,0,0,0,-1.80082
1.231412,0,-0.3028317,0,-1.80082
1.248208,0,0,0,-1.497989
1.264944,0,0,0,-1.497989
1.281353,0,0,0,-1.497989
1.299656,0,0,0,-1.497989
1.314957,0,0,0,-1.497989
1.331244,0,-0.1909221,0,-1.497989
1.348261,0,0,0,-1.307067
1.364482,0,0,0,-1.307067
1.381506,0,0,0,-1.307067
1.398755,0,0,0,-1.307067
1.414812,0,0,0,-1.307067
1.431473,0,-0.02762115,0,-1.307067
1.448411,0,0,0,-1.279446
1.465029,0,0,0,-1.279446
1.481176,0,0,0,-1.279446
1.49816,0,0,0,-1.279446
1.516796,0,0,0,-1.279446
1.531415,0,0.06487018,0,-1.279446
1.548173,0,0,0,-1.344317
1.565286,0,0,0,-1.344317
1.581549,0,0,0,-1.344317
1.597861,0,0,0,-1.344317
1.614857,0,0,0,-1.344317
1.631595,0,0.000590682,0,-1.344317
1.648092,0,0,0,-1.344908
1.664834,0,0,0,-1.344908
1.681503,0,0,0,-1.344908
1.698076,0,0,0,-1.344908
1.71501,0,0,0,-1.344908
1.732801,0,-0.2268165,0,-1.344908
1.748279,0,0,0,-1.118091
1.765262,0,0,0,-1.118092
1.781571,0,0,0,-1.118092
1.798334,0,0,0,-1.118092
1.814928,0,0,0,-1.118092
1.832333,0,-0.5397963,0,-1.118093
1.848159,0,0,0,-0.5782963
1.865237,0,0,0,-0.5782964
1.881601,0,0,0,-0.5782964
1.898396,0,0,0,-0.5782965
1.914783,0,0,0,-0.5782965
1.931128,0,-0.813156,0,-0.5782966
1.950089,0,0,0,0.2348633
1.964913,0,0,0,0.2348633
1.981342,0,0,0,0.2348633
1.998222,0,0,0,0.2348633
2.014387,0,0,0,0.2348633
2.031223,0,-0.9327153,0,0.2348633
2.048269,0,0,0,1.167572
2.064991,0,0,0,1.167572
2.081369,0,0,0,1.167572
2.097536,0,0,0,1.167572
2.114971,0,0,0,1.167572
2.132027,0,-0.8475572,0,1.167572
2.150867,0,0,0,2.015137
2.165313,0,0,0,2.015137
2.181566,0,0,0,2.015137
2.198272,0,0,0,2.015137
2.214851,0,0,0,2.015137
2.232045,0,-0.5907865,0,2.015137
2.248715,0,0,0,2.605927
2.265121,0,0,0,2.605927
2.281748,0,0,0,2.605927
2.298409,0,0,0,2.605927
2.314284,0,0,0,2.605927
2.331809,0,-0.2596354,0,2.605927
2.348703,0,0,0,2.86557
2.367771,0,0,0,2.86557
2.381682,0,0,0,2.86557
2.398186,0,0,0,2.86557
2.415043,0.05973259,0,0.1342215,2.86557
2.430955,0.0842376,0.03406048,0.2005353,2.805847
2.448442,0.1155352,0,0.2502707,2.687561
2.464808,0.1100935,0,0.2547921,2.572021
2.481725,0.1097512,0,0.2457493,2.461914
2.498064,0.08942412,0,0.2073175,2.352173
2.51496,0.08474282,0,0.1899854,2.262756
2.531876,0.07575785,0.2175772,0.1696391,2.178009
2.54854,0.07131625,0,0.1621035,1.884674
2.567715,0.0759557,0,0.1500464,1.813354
2.590977,0.08427768,0,0.1372357,1.737396
2.598624,0.02725137,0,0.1349751,1.653107
2.6152,0.05873476,0,0.1342215,1.625854
2.631622,0.05884388,0.2882471,0.1357286,1.567108
2.648509,0.06319696,0,0.1417571,1.220032
2.664761,0.06082316,0,0.1417571,1.15683
2.681676,0.06195682,0,0.1387429,1.096008
2.698411,0.03932245,0,0.08900748,1.034058
2.715044,0.01162011,0,0.02646152,0.9947205
2.731615,0,0.3066676,0,0.9830933
2.748054,0,0,0,0.6764221
2.764987,0,0,0,0.6764221
2.783661,0,0,0,0.6764221
2.798254,0,0,0,0.6764221
2.815044,0,0,0,0.6764221
2.83115,0,0.3566289,0,0.6764221
2.848177,0,0,0,0.3197937
2.865294,0,0,0,0.3197937
2.881315,0,0,0,0.3197937
2.898261,0,0,0,0.3197937
2.914932,0,0,0,0.3197937
2.931355,0,0.4932863,0,0.3197937
2.948743,0,0,0,-0.1734968
2.965409,0,0,0,-0.1734968
2.984186,0,0,0,-0.1734968
2.998087,0,0,0,-0.1734968
3.015065,0,0,0,-0.1734968
3.031751,0,0.7072076,0,-0.1734968
3.04809,0,0,0,-0.8807045
3.064848,0,0,0,-0.8807046
3.081812,0,0,0,-0.8807048
3.098186,0,0,0,-0.8807049
3.11453,0,0,0,-0.880705
3.131288,0,0.9239359,0,-0.8807051
3.148262,0,0,0,-1.804641
3.164594,0,0,0,-1.804641
3.181735,0,0,0,-1.804642
3.200222,0,0,0,-1.804642
3.214766,0,1.040569,0,-1.804642
