Time,CV,FF,Input
0,0,-0.6633232,0
0.01533508,0,-0.6633232,0
0.03187561,0,-0.6633232,0
0.04866028,0,-0.6633232,0
0.06483459,0,-0.6633232,0
0.08183289,0,-0.6633232,0
0.09835815,0,-0.6633232,0
0.1152039,0,-0.6633232,0
0.1319733,0,-0.5323752,0
0.1478577,0,-0.5323752,0
0.1651764,0,-0.5323752,0
0.1813965,0,-0.5323752,0
0.1977539,0,-0.5323752,0
0.2169342,0,-0.5323752,0
0.2318268,0,-0.4595022,0
0.2481689,0,-0.4595022,0
0.2657166,0,-0.4595022,0
0.281601,0,-0.4595022,0
0.2987976,0,-0.4595022,0
0.3149261,0,-0.4595022,0
0.3315887,0,-0.4725033,0
0.3488007,0,-0.4725033,0
0.3652039,0,-0.4725033,0
0.3811035,0,-0.4725033,0
0.3981018,0,-0.4725033,0
0.4166412,0,-0.4725033,0
0.4313354,0,-0.5658691,0
0.447998,0,-0.5658691,0
0.4648132,0,-0.5658691,0
0.4820099,0,-0.5658691,0
0.4980011,0,-0.5658691,0
0.5158539,0,-0.5658691,0
0.5319977,0,-0.8264648,0.07695042
0.5487366,0.0001003572,-0.8264648,0.1914925
0.5658875,0.0004685749,-0.8264648,0.3452201
0.5813446,0.001241725,-0.8264648,0.4228374
0.5988159,0.002666981,-0.8264648,0.4808621
0.6168518,0.004867842,-0.8264648,0.5162796
0.6309509,0.007222515,-0.8264648,0.5162796
0.648056,0.01067659,-0.8264648,0.411534
0.6647034,0.01460646,-0.8264648,0.3286416
0.6813354,0.01896678,-0.8264648,0.2336922
0.6979675,0.02363849,-0.8264648,0.1696391
0.7148743,0.02861778,-0.8264648,0.1221644
0.7320404,0.03384377,-0.8911006,0.03701145
0.748703,0.03896233,-0.8911006,0
0.7646942,0.04387442,-0.8911006,0
0.7819672,0.04917907,-0.8911006,0
0.7988281,0.05435517,-0.8911006,0
0.815033,0.0593281,-0.8911006,0
0.8334045,0.06496301,-0.8735071,0
0.8485565,0.06960703,-0.8735071,0
0.8648987,0.07461713,-0.8735071,0
0.8817749,0.07978815,-0.8735071,0
0.8987427,0.08498842,-0.8735071,0
0.9145966,0.08984114,-0.8735071,0
0.9316254,0.09505487,-0.7850048,0
