Time,CV,FF,Input
0,0,-0.6633232,0
0.01542664,0,-0.6633232,0
0.03217793,0,-0.6633232,0
0.04904556,0,-0.6633232,0
0.06540108,0,-0.6633232,0
0.08238029,0,-0.6633232,0
0.1032724,0,-0.6633232,0
0.1161518,0,-0.5323752,0
0.1317272,0,-0.5323752,0
0.1486616,0,-0.5323752,0
0.1660614,0,-0.5323752,0
0.181963,0,-0.5323752,0
0.1989689,0,-0.5323752,0
0.2155828,0,-0.5323752,0
0.2319326,0,-0.4595022,0
0.2493343,0,-0.4595022,0
0.2656775,0,-0.4595022,0
0.2832918,0,-0.4595022,0
0.3010073,0,-0.4595022,0
0.31635,0,-0.4725033,0
0.3324499,0,-0.4725033,0
0.3491507,0,-0.4725033,0
0.3655062,0,-0.4725033,0
0.3820238,0,-0.4725033,0
0.3993864,0,-0.4725033,0
0.416255,0,-0.4725033,0.06112557
0.4321384,7.90304E-05,-0.5658691,0.1899854
0.4493923,0.0004160931,-0.5658691,0.3994769
0.4650583,0.001243084,-0.5658691,0.5396402
0.4821634,0.002843532,-0.5658691,0.6722679
0.499053,0.005360545,-0.5658691,0.8659344
0.5171328,0.009330004,-0.5658691,0.9759552
0.5320101,0.01386198,-0.8264648,1.064122
0.5484838,0.02013696,-0.8264648,1.16284
0.5654774,0.02817927,-0.8264648,1.205039
0.5823164,0.03780904,-0.8264648,1.225386
0.5989532,0.04897692,-0.8264648,1.222372
0.6155109,0.061713,-0.8264648,1.171883
0.6317015,0.07567834,-0.8264648,1.140986
0.649231,0.09235631,-0.8264648,1.125915
0.6654978,0.1093768,-0.8264648,1.108583
0.6821785,0.1282767,-0.8264648,1.094265
0.698658,0.1483934,-0.8264648,1.073165
0.7156639,0.1705974,-0.8264648,1.030212
0.7343502,0.1965673,-0.8911006,0.9827373
0.7492876,0.218642,-0.8911006,0.9518411
0.7654581,0.2436421,-0.8911006,0.9427983
0.7824087,0.2710868,-0.8911006,0.9420448
0.7984152,0.2982271,-0.8911006,0.9352625
0.8153,0.3280672,-0.8911006,0.9247127
0.8320885,0.3589927,-0.8735071,0.8764845
0.8484678,0.3903177,-0.8735071,0.8259954
0.8654518,0.4238967,-0.8735071,0.7423496
0.8823528,0.4583273,-0.8735071,0.6752822
0.8986521,0.49242,-0.8735071,0.5893757
0.9155407,0.5285167,-0.8735071,0.4582551
0.9324322,0.5652376,-0.7850048,0.3535093
0.9508572,0.6058091,-0.7850048,0.1832033
0.9656763,0.6386723,-0.7850048,0.0897611
0.9821301,0.6752537,-0.7850048,0
0.9993134,0.7134435,-0.7850048,0
1.015211,0.7487641,-0.7850048,0
1.032528,0.7872269,-0.6631478,0
1.048328,0.8223087,-0.6631478,0
1.065477,0.8603723,-0.6631478,0
1.082332,0.8977674,-0.6631478,0
1.099156,0.9350865,-0.6631478,0
1.115649,0.9716566,-0.6631478,0
1.132554,1.00913,-0.5529494,0
1.150767,1.049489,-0.5529494,0
1.165578,1.082291,-0.5529494,0
1.182397,1.119535,-0.5529494,0
1.198785,1.155814,-0.5529494,0
1.215425,1.192636,-0.5529494,0
1.232049,1.229414,-0.4859668,0
1.249202,1.267344,-0.4859668,0
1.265086,1.302462,-0.4859668,0
1.282302,1.340508,-0.4859668,0
1.299287,1.378031,-0.4859668,0
1.315351,1.413508,-0.4859668,0
1.332557,1.451495,-0.4671366,0
1.351214,1.492672,-0.4671366,0
1.365479,1.524143,-0.4671366,0
1.382434,1.561537,-0.4671366,0
1.398644,1.597278,-0.4671366,0
1.418609,1.641281,-0.4671366,0
1.43534,1.678146,-0.4751886,0
1.451627,1.714018,-0.4751886,-0.09051462
1.468701,1.751487,-0.4751886,-0.2367065
1.488318,1.794144,-0.4751886,-0.36632
1.498923,1.816825,-0.4751886,-0.5170333
1.515407,1.85164,-0.4751886,-0.5969113
1.532479,1.886871,-0.4757024,-0.6828179
1.549262,1.920553,-0.4757024,-0.7265247
1.567986,1.957016,-0.4757024,-0.7626959
1.581969,1.983269,-0.4757024,-0.7770137
1.599307,2.014906,-0.4757024,-0.7777672
1.615254,2.042956,-0.4757024,-0.7679709
1.632279,2.071888,-0.439783,-0.7649566
1.648429,2.098309,-0.439783,-0.7649566
1.665648,2.125443,-0.439783,-0.774753
1.682027,2.150186,-0.439783,-0.7755065
1.699203,2.175075,-0.439783,-0.7762602
1.715854,2.198126,-0.439783,-0.7762602
1.732512,2.220138,-0.3589001,-0.774753
1.748797,2.240635,-0.3589001,-0.7717386
1.76545,2.26058,-0.3589001,-0.7709852
1.784062,2.281709,-0.3589001,-0.7649566
1.799121,2.297764,-0.3589001,-0.7589281
1.815385,2.314202,-0.3589001,-0.7589281
1.832412,2.33039,-0.2487559,-0.7589281
1.848392,2.344581,-0.2487559,-0.7589281
1.86564,2.358885,-0.2487559,-0.7589281
1.882257,2.371611,-0.2487559,-0.7589281
1.899127,2.383501,-0.2487559,-0.7709852
1.91529,2.393872,-0.2487559,-0.7724922
1.931729,2.403428,-0.1408258,-0.7724922
1.949372,2.4126,-0.1408258,-0.7724922
1.965531,2.419933,-0.1408258,-0.7634494
1.983891,2.42717,-0.1408258,-0.7619423
1.998916,2.432076,-0.1408258,-0.7513923
2.015201,2.436504,-0.1408258,-0.7446103
2.032254,2.440142,-0.06646704,-0.7235104
2.049226,2.442751,-0.06646704,-0.7174819
2.06515,2.444263,-0.06646704,-0.701657
2.081996,2.444953,-0.06646704,-0.6850785
2.099383,2.444696,-0.06646704,-0.6752822
2.116055,2.443506,-0.06646704,-0.6639786
2.132428,2.441463,-0.04203686,-0.6564431
2.14932,2.43848,-0.04203686,-0.6383575
2.165427,2.434798,-0.04203686,-0.6285611
2.182393,2.430092,-0.04203686,-0.6210254
2.201299,2.423889,-0.04203686,-0.6119826
2.215615,2.418394,-0.06258319,-0.6089683
2.23235,2.411268,-0.06258319,-0.5976648
2.248651,2.403544,-0.06258319,-0.5916362
2.265096,2.394988,-0.06258319,-0.5795792
2.281945,2.385449,-0.06258319,-0.5622473
2.299476,2.374726,-0.06258319,-0.5411475
2.315551,2.364162,-0.06258319,-0.5215546
2.332017,2.352679,-0.1508932,-0.5087441
2.34855,2.340482,-0.1508932,-0.4997012
2.36547,2.327331,-0.1508932,-0.4876442
2.382464,2.313449,-0.1508932,-0.4823692
2.401275,2.297345,-0.1508932,-0.4808621
2.415456,2.284591,-0.1811709,-0.4786014
2.432418,2.268784,-0.1811709,-0.4778479
2.449504,2.252198,-0.1811709,-0.4778479
2.465837,2.235705,-0.1811709,-0.4778479
2.482211,2.21856,-0.1811709,-0.4778479
2.499381,2.199938,-0.1811709,-0.4778479
2.515599,2.181713,-0.1811709,-0.4778479
2.532796,2.16175,-0.2021848,-0.4786014
2.54938,2.141847,-0.2021848,-0.4831227
2.565549,2.121826,-0.2021848,-0.4921655
2.582601,2.100062,-0.2021848,-0.4921655
2.60068,2.076261,-0.2021848,-0.4921655
2.616307,2.055026,-0.2321494,-0.4921655
2.633201,2.03145,-0.2321494,-0.4921655
2.649331,2.008299,-0.2321494,-0.4921655
2.666301,1.983299,-0.2321494,-0.4921655
2.682458,1.958856,-0.2321494,-0.4921655
2.699365,1.932637,-0.2321494,-0.4868907
2.715442,1.907076,-0.2321494,-0.4816157
2.732215,1.87979,-0.29051,-0.4770942
2.748963,1.851903,-0.29051,-0.4755871
2.765697,1.823412,-0.29051,-0.4695586
2.781915,1.795191,-0.29051,-0.4552408
2.799338,1.764259,-0.29051,-0.4544872
2.817346,1.731616,-0.29051,-0.4439372
2.831946,1.704593,-0.3837545,-0.4401695
2.849519,1.671538,-0.3837545,-0.4281124
2.865867,1.640203,-0.3837545,-0.4205768
2.883239,1.606336,-0.3837545,-0.3994769
2.898843,1.575406,-0.3837545,-0.3776234
2.916507,1.539904,-0.3837545,-0.3648128
2.93304,1.506168,-0.497724,-0.315831
2.94937,1.47245,-0.497724,-0.2789062
2.965955,1.437848,-0.497724,-0.235953
2.982461,1.403115,-0.497724,-0.1304537
2.999413,1.367273,-0.497724,-0.03851858
3.018262,1.327379,-0.497724,0
3.0325,1.297256,-0.6013194,0
3.049621,1.261046,-0.6013194,0
3.066236,1.225915,-0.6013194,0
3.082656,1.191208,-0.6013194,0
3.099637,1.155323,-0.6013194,0
3.116403,1.119911,-0.6013194,0
3.132211,1.08653,-0.6605175,0
3.149238,1.050587,-0.6605175,0
3.165904,1.015421,-0.6605175,0
3.182904,0.9795558,-0.6605175,0
3.198617,0.9464208,-0.6605175,0
3.215619,0.9105823,-0.6605175,0
3.234948,0.8698463,-0.6559471,0
3.249158,0.8399122,-0.6559471,0
3.265496,0.8055024,-0.6559471,0
3.282727,0.7692279,-0.6559471,0.1718998
3.299405,0.734368,-0.6559471,0.4989477
3.316216,0.6999111,-0.6559471,0.7189891
3.333077,0.6663513,-0.5949259,0.9518411
3.349397,0.6351464,-0.5949259,1.293207
3.365668,0.6056969,-0.5949259,1.501945
3.383168,0.5760984,-0.5949259,1.789807
3.399011,0.5517079,-0.5949259,1.949563
3.415765,0.5284184,-0.5949259,2.082944
3.43505,0.5048673,-0.511151,2.223108
3.448571,0.49116,-0.511151,2.2849
3.466334,0.4758046,-0.511151,2.315796
3.482469,0.4650644,-0.511151,2.325593
3.499215,0.456953,-0.511151,2.311275
3.516227,0.4518929,-0.511151,2.293943
3.532083,0.4501643,-0.4511572,2.288668
3.548736,0.4512657,-0.4511572,2.273597
3.565692,0.4554846,-0.4511572,2.229136
3.582284,0.4626375,-0.4511572,2.189197
