Time,CT,FF,Input,Pitch
0,0,-0.3867554,0,0
0.01577759,0,0,0,0.3867493
0.03271484,0,0,0,0.3867493
0.0489502,0,0,0,0.3867493
0.06533813,0,0,0,0.3867493
0.0827179,0,0,0,0.3867493
0.09991455,0,0,0,0.3867493
0.115509,0,0,0,0.3867493
0.1322327,0,-0.1009808,0,0.3867493
0.1492767,0,0,0,0.4877625
0.16539,0,0,0,0.4877625
0.1839752,0,0,0,0.4877625
0.198761,0,0,0,0.4877625
0.2154694,0,0,0,0.4877625
0.2321777,0,-0.2698416,0,0.4877625
0.2495728,0,0,0,0.7575989
0.2662506,0,0,0,0.7575989
0.2823944,0,0,0,0.7575989
0.2994843,0,0,0,0.7575989
0.3155518,0,0,0,0.7575989
0.3321991,0,-0.2192127,0,0.7575989
0.3490601,0,0,0,0.9768066
0.3654785,0,0,0,0.9768066
0.3843079,0,0,0,0.9768066
0.3986053,0,0,0,0.9768066
0.4155579,0,0,0,0.9768066
0.4317932,0,0.02217191,0,0.9768066
0.4490204,0,0,0,0.9546204
0.4657135,0,0,0,0.9546204
0.4824829,0,0,0,0.9546204
0.4994812,0,0,0,0.9546204
0.5158081,0,0,0,0.9546204
0.5324554,0,0.3424898,0,0.9546204
0.5494537,0,0,0,0.6121216
0.5659332,0,0,0,0.6121216
0.5851593,0,0,0,0.6121216
0.5989685,0,0,0,0.6121216
0.61586,0,0,0,0.6121216
0.632309,0,0.5963539,0,0.6121216
0.6492004,0,0,0,0.01577759
0.665741,0,0,0,0.01577759
0.6823425,0,0,0,0.01577759
0.6988068,0,0,0,0.01577759
0.7156067,0,0,0,0.01577759
0.7320557,0,0.6702636,0,0.01577759
0.7487946,0,0,0,-0.6544788
0.7657776,0,0,0,-0.6544789
0.7824402,0,0,0,-0.654479
0.8007965,0,0,0,-0.654479
0.8158875,0,0.5331177,0,-0.6544791
0.8325806,0,0,0,-1.187597
0.84935,0,0,0,-1.187597
0.8661957,0,0,0,-1.187597
0.8826294,0,0,0,-1.187597
0.8990021,0,0,0,-1.187597
0.9154816,0,0,0,-1.187597
0.9319305,0,0.2479287,0,-1.187597
0.9487762,0,0,0,-1.435526
0.9655914,0,0,0,-1.435526
0.9824982,0,0,0,-1.435526
0.9989319,0,0,0,-1.435526
1.018234,0,0,0,-1.435526
1.032043,0,-0.06056297,0,-1.435526
1.049057,0,0,0,-1.374963
1.065781,0,0,0,-1.374963
1.082809,0,0,0,-1.374963
1.098999,0,0,0,-1.374964
1.115387,-0.0851104,0,-0.1967675,-1.374964
1.132599,-0.1494239,-0.2665517,-0.3286416,-1.289853
1.152435,-0.2311601,0,-0.4416767,-0.8738776
1.171112,-0.2862889,0,-0.5803329,-0.6427176
1.182526,-0.1972063,0,-0.6549358,-0.3564287
1.199188,-0.3206104,0,-0.7287855,-0.1592224
1.217499,-0.3618231,0,-0.748378,0.161377
1.231873,-0.2864976,-0.3028317,-0.7551603,0.5232239
1.249298,-0.3385544,0,-0.7355675,1.112549
1.265823,-0.3100931,0,-0.7106999,1.451111
1.282471,-0.3035312,0,-0.691107,1.7612
1.298935,-0.296675,0,-0.6820642,2.064728
1.315125,-0.2820661,0,-0.6602108,2.36142
1.332123,-0.2755735,-0.1909221,-0.6142433,2.643494
1.349594,-0.2656372,0,-0.5758114,3.109985
1.365845,-0.2102183,0,-0.4899049,3.37561
1.382156,-0.1798465,0,-0.4175625,3.585816
1.398621,-0.1476466,0,-0.3399451,3.765655
1.415543,-0.08525873,0,-0.190739,3.9133
1.434814,-0.04298936,-0.02762115,-0.08448609,3.998566
1.448837,0,0,0,4.069183
1.466171,0,0,0,4.069183
1.483185,0,0,0,4.069183
1.49939,0,0,0,4.069183
1.515213,0,0,0,4.069183
1.532166,0,0.06487018,0,4.069183
1.548859,0,0,0,4.004303
1.565155,0,0,0,4.004303
1.581604,0,0,0,4.004303
1.598587,0,0,0,4.004303
1.615448,0,0,0,4.004303
1.632217,0,0.000590682,0,4.004303
1.650589,0,0,0,4.003723
1.665573,0,0,0,4.003723
1.682419,0,0,0,4.003723
1.698746,0,0,0,4.003723
1.715851,0,0,0,4.003723
1.731949,0,-0.2268165,0,4.003723
1.749435,0,0,0,4.23053
1.76564,0,0,0,4.23053
1.78212,0,0,0,4.23053
1.798859,0,0,0,4.23053
1.815689,0,0,0,4.23053
1.832687,0,-0.5397963,0,4.23053
1.851273,0,0,0,4.770325
1.86554,0,0,0,4.770325
1.882401,0.0003742848,0,0.0008402599,4.770325
1.899124,0.01135059,0,0.02570791,4.769958
1.915588,0.01869913,0,0.04303998,4.758606
1.932236,0.02256835,-0.813156,0.05132917,4.739899
1.948547,0.02532792,0,0.05886483,5.530457
1.965607,0.02653214,0,0.05886483,5.505127
1.98262,0.02643889,0,0.05886483,5.478607
1.998947,0.02535371,0,0.05886483,5.452179
2.015823,0.02891119,0,0.06489336,5.426819
2.032867,0.02922162,-0.9327153,0.06489336,5.397919
2.052673,0.03471027,0,0.06640049,6.301392
2.06633,0.02501613,0,0.06941476,6.266693
2.082428,0.03174634,0,0.07468977,6.241669
2.098816,0.03719621,0,0.08599322,6.20993
2.115295,0.04202412,0,0.09654315,6.172729
2.132355,0.04993264,-0.8475572,0.110861,6.130707
2.149246,0.06152052,0,0.1379894,6.928345
2.165359,0.07214014,0,0.1696391,6.866821
2.181808,0.08742904,0,0.2012889,6.794678
2.19873,0.1168172,0,0.2615742,6.707245
2.215561,0.1346364,0,0.3030204,6.590454
2.232529,0.1627715,-0.5907865,0.3633057,6.455811
2.24881,0.172671,0,0.4017375,6.88382
2.267624,0.2314641,0,0.4657908,6.711151
2.282364,0.1970548,0,0.5064833,6.479675
2.298874,0.2408007,0,0.5524508,6.282623
2.315704,0.2730865,0,0.6149969,6.041809
2.33252,0.2855301,-0.2596354,0.6428788,5.768738
2.348495,0.2877096,0,0.6820642,5.742859
2.365891,0.3308625,0,0.7204962,5.455139
2.382126,0.316281,0,0.7378283,5.124268
2.398987,0.3347157,0,0.752146,4.807983
2.416046,0.3436942,0,0.7634494,4.473267
2.43222,0.326566,0.03406048,0.7642031,4.129578
2.448868,0.3356751,0,0.7642031,3.768951
2.465622,0.338211,0,0.7642031,3.433289
2.484818,0.3806396,0,0.7513923,3.095093
2.499359,0.2864017,0,0.7461175,2.714447
2.515549,0.3164841,0,0.7400889,2.42804
2.53215,0.3175652,0.2175772,0.7250177,2.111542
2.548737,0.3086924,0,0.7046713,1.576385
2.565018,0.2795945,0,0.6504145,1.2677
2.581863,0.2625893,0,0.5908828,0.9880982
2.599503,0.2209085,0,0.4740799,0.7254944
2.615997,0.1716915,0,0.3942019,0.5045776
2.63295,0.1463965,0.2882471,0.3271345,0.3328857
2.649017,0.08884449,0,0.2095781,-0.1017525
2.66571,0.06217126,0,0.1410036,-0.190597
2.684952,0.03027936,0,0.05961844,-0.2527683
2.699112,0.005665615,0,0.01515798,-0.2830476
2.715225,0,0,0,-0.2887133
2.732452,0,0.3066676,0,-0.2887133
2.748367,0,0,0,-0.595381
2.76535,0,0,0,-0.595381
2.781815,0,0,0,-0.5953811
2.798706,0,0,0,-0.5953811
2.815582,0,0,0,-0.5953812
2.832321,0,0.3566289,0,-0.5953813
2.848831,0,0,0,-0.95201
2.864929,0,0,0,-0.9520099
2.882095,0,0,0,-0.9520098
2.901367,0,0,0,-0.9520097
2.914993,0,0.4932863,0,-0.9520096
2.931931,0,0,0,-1.445296
2.948792,0,0,0,-1.445296
2.96553,0,0,0,-1.445296
2.981796,0,0,0,-1.445296
2.998627,0,0,0,-1.445296
3.01564,0,0,0,-1.445296
3.031921,0,0.7072076,0,-1.445296
3.048813,0,0,0,-2.152503
3.065796,0,0,0,-2.152503
3.082458,0,0,0,-2.152503
3.100388,0,0,0,-2.152503
3.115356,0,0.9239359,0,-2.152503
3.132034,0,0,0,-3.07644
3.149094,0,0,0,-3.07644
3.165359,0,0,0,-3.076441
3.182571,0,0,0,-3.076441
3.198578,0,0,0,-3.076442
3.215103,0,0,0,-3.076442
3.232208,0,1.040569,0,-3.076442
3.248428,0,0,0,-4.117012
3.265335,0,0,0,-4.117012
3.281448,0,0,0,-4.117012
3.298996,0,0,0,-4.117012
3.317169,0,0,0,-4.117012
3.332031,0,0.9816096,0,-4.117012
3.348282,0,0,0,-5.098621
3.365234,0,0,0,-5.098621
3.382095,0,0,0,-5.098621
3.398651,0,0,0,-5.098621
3.415329,0,0,0,-5.098621
3.431717,-0.09360165,0.7456905,-0.2163603,-5.098621
3.449142,-0.1797302,0,-0.3904341,-5.75071
3.465576,-0.2311381,0,-0.5328581,-5.570981
3.482376,-0.3157576,0,-0.7122069,-5.339842
3.499176,-0.3510006,0,-0.7913315,-5.024084
3.51799,-0.4355142,0,-0.8764845,-4.673083
3.532364,-0.3452641,0.4182487,-0.9103949,-4.237569
3.548904,-0.4027552,0,-0.922452,-4.310555
3.565613,-0.4070072,0,-0.922452,-3.9078
3.58194,-0.3888776,0,-0.9021056,-3.500793
3.598236,-0.38551,0,-0.8960771,-3.111915
3.615433,-0.4068741,0,-0.8960771,-2.726405
3.631989,-0.3927337,0.1413364,-0.8990914,-2.319531
3.648544,-0.3936203,0,-0.9005986,-2.068134
3.665344,-0.3994811,0,-0.9005986,-1.674514
3.682159,-0.3966547,0,-0.8930628,-1.275033
3.698654,-0.386465,0,-0.887788,-0.878378
3.715729,-0.394168,0,-0.8742237,-0.4919131
3.734406,-0.4224579,0.05278373,-0.8568916,-0.09774515
3.748978,-0.3210095,0,-0.8342847,0.2719421
3.765457,-0.3425138,0,-0.7875636,0.5929565
3.782639,-0.3369791,0,-0.7431033,0.9354554
3.79866,-0.2915652,0,-0.6888465,1.27243
3.815613,-0.2620586,0,-0.5856078,1.563995
3.832199,-0.2217392,0.2225113,-0.5064833,1.82605
3.849396,-0.1790252,0,-0.3942019,1.825287
3.866119,-0.1396878,0,-0.3165846,2.004303
3.881699,-0.1048286,0,-0.2547921,2.143982
3.898956,-0.08143779,0,-0.1786819,2.24881
3.915405,-0.05990598,0,-0.1379894,2.330261
3.93222,-0.0438455,0.6162338,-0.0988039,2.390167
3.950699,-0.03866541,0,-0.07921118,1.81778
3.965439,-0.02524138,0,-0.06489336,1.856445
3.981628,-0.02419159,0,-0.05660418,1.881683
3.998764,-0.0218609,0,-0.0483149,1.905884
4.015564,-0.01172965,0,-0.02646152,1.927734
4.032043,-0.001349653,1.104596,-0.003100913,1.939453
4.048935,0,0,0,0.8362122
4.065155,0,0,0,0.8362122
4.081924,0,0,0,0.8362122
4.098907,0,0,0,0.8362122
4.11557,0,0,0,0.8362122
4.13205,0,1.514748,0,0.8362122
4.148544,0,0,0,-0.678521
4.167236,0,0,0,-0.678521
4.182236,0,0,0,-0.678521
4.199158,0,0,0,-0.678521
4.215302,0,0,0,-0.678521
4.232208,0,1.701488,0,-0.678521
4.249176,0,0,0,-2.380009
4.265579,0,0,0,-2.380009
4.282379,0,0,0,-2.380009
4.298691,0,0,0,-2.380009
4.315521,0,0,0,-2.380009
4.332382,0,1.605941,0,-2.380009
4.349396,0,0,0,-3.985951
4.367706,0,0,0,-3.985951
4.382401,0,0,0,-3.985952
4.398727,0,0,0,-3.985952
4.415695,0,0,0,-3.985952
4.432526,0,1.275739,0,-3.985953
4.44928,0.02872325,0,0.06489336,-5.261692
4.465775,0.07584548,0,0.1741605,-5.290416
4.481735,0.09554016,0,0.2269102,-5.366261
4.498962,0.1341264,0,0.2947312,-5.461802
4.515594,0.1430012,0,0.3256274,-5.595929
4.531891,0.1478122,0.838809,0.3437129,-5.738931
4.548569,0.1542737,0,0.3504951,-6.725553
4.565063,0.152634,0,0.3504951,-6.879827
4.584244,0.149613,0,0.2954847,-7.032462
4.598404,0.08875387,0,0.2374601,-7.182076
4.615311,0.07403883,0,0.1658713,-7.27083
4.63208,0.01906637,0.4444237,0.04303998,-7.34487
4.649231,0,0,0,-7.80836
4.665359,0,0,0,-7.808361
4.682114,0,0,0,-7.808362
4.698364,0,0,0,-7.808363
4.715393,0,0,0,-7.808364
4.732193,0,0.1998568,0,-7.808364
4.748657,0,0,0,-8.008221
4.765564,0,0,0,-8.008221
4.784073,0,0,0,-8.008221
4.798676,0,0,0,-8.008221
4.815643,0,0,0,-8.008221
4.832535,0,0.1317577,0,-8.008221
4.84906,0,0,0,-8.139979
4.86528,0,0,0,-8.13998
4.882126,0,0,0,-8.139981
4.898392,-0.0126641,0,-0.02947578,-8.139982
