Time,CV,FF,Input
0,0,-0.6633232,0
0.01593018,0,-0.6633232,0
0.03240967,0,-0.6633232,0
0.04974365,0,-0.6633232,0
0.06622314,0,-0.6633232,0
0.08227539,0,-0.6633232,0
0.09899902,0,-0.6633232,0
0.116394,0,-0.6633232,0
0.1351318,0,-0.5323752,0
0.1497803,0,-0.5323752,0
0.1661987,0,-0.5323752,0
0.1824951,0,-0.5323752,0
0.1988525,0,-0.5323752,0
0.2162476,0,-0.5323752,0
0.2329712,0,-0.4595022,0
0.2490234,0,-0.4595022,0
0.2660522,0,-0.4595022,0
0.2823486,0,-0.4595022,0
0.2991943,0,-0.4595022,0
0.3161011,0,-0.4595022,0
0.3325195,0,-0.4725033,0
0.3515015,0,-0.4725033,0
0.3655396,0,-0.4725033,0
0.3823242,0,-0.4725033,0
0.399292,0,-0.4725033,0
0.4158325,0,-0.4725033,0
0.4326782,0,-0.5658691,0
0.4490356,0,-0.5658691,0
0.4656982,0,-0.5658691,0
0.482605,0,-0.5658691,0
0.4987793,0,-0.5658691,0
0.5158081,0,-0.5658691,0
0.5325928,0,-0.8264648,0
0.5516968,0,-0.8264648,0.0716755
0.56604,9.483877E-05,-0.8264648,0.168132
0.5821533,0.0003889933,-0.8264648,0.2947312
0.5994873,0.001101356,-0.8264648,0.3693342
0.6157837,0.002276462,-0.8264648,0.4394159
0.6328735,0.004093574,-0.8264648,0.4695586
0.6495972,0.00652926,-0.8264648,0.4778479
0.6656494,0.009473797,-0.8264648,0.4786014
0.6827393,0.01324993,-0.8264648,0.4642836
0.6988525,0.0174259,-0.8264648,0.4371552
0.7155762,0.02232254,-0.8264648,0.4258516
0.7329102,0.0279905,-0.8911006,0.4153018
0.7515259,0.03472054,-0.8911006,0.4130411
0.7658691,0.04045423,-0.8911006,0.4130411
0.7821655,0.04741859,-0.8911006,0.4364017
0.7990723,0.05520428,-0.8911006,0.446198
0.815979,0.06360798,-0.8911006,0.4477052
0.8353271,0.07396153,-0.8735071,0.4477052
0.8549805,0.08525381,-0.8735071,0.4454445
0.8655396,0.09176894,-0.8735071,0.4356481
0.8824463,0.1025946,-0.8735071,0.4341409
0.8994751,0.1140779,-0.8735071,0.4333874
0.9154053,0.1254168,-0.8735071,0.4281124
0.932373,0.1380362,-0.7850048,0.4273589
0.9487915,0.1507967,-0.7850048,0.4145483
0.9684448,0.1667273,-0.7850048,0.4024912
0.9824219,0.1785474,-0.7850048,0.395709
0.9987793,0.192859,-0.7850048,0.3881734
1.015991,0.2084485,-0.7850048,0.3844056
1.032104,0.2235532,-0.6631478,0.36632
1.049072,0.2398819,-0.6631478,0.3565236
1.065857,0.2565775,-0.6631478,0.3452201
1.082214,0.2733112,-0.6631478,0.3309024
1.099243,0.2911243,-0.6631478,0.3248738
1.115479,0.3085277,-0.6631478,0.3082954
1.13269,0.3274134,-0.5529494,0.2977454
1.149231,0.3460054,-0.5529494,0.2781527
1.167786,0.3672073,-0.5529494,0.2600671
1.182739,0.3846424,-0.5529494,0.2419815
1.19928,0.4041912,-0.5529494,0.2178674
1.215576,0.4237971,-0.5529494,0.2020425
1.2323,0.4441001,-0.4859668,0.1673784
1.249207,0.4648656,-0.4859668,0.1304537
1.266052,0.4857309,-0.4859668,0.0988039
1.282104,0.5057703,-0.4859668,0.04228637
1.298889,0.5267737,-0.4859668,0
1.315308,0.5472801,-0.4859668,0
1.332764,0.5690324,-0.4671366,0
1.348816,0.5891196,-0.4671366,0
1.364685,0.608871,-0.4671366,0
1.383606,0.6325239,-0.4671366,0
1.398865,0.6514975,-0.4671366,0
1.414734,0.6713462,-0.4671366,0
1.432007,0.6928583,-0.4751886,0
1.448425,0.7132619,-0.4751886,0
1.465454,0.7345061,-0.4751886,0
1.482422,0.7555906,-0.4751886,0
1.498779,0.7759969,-0.4751886,0
1.515076,0.7962348,-0.4751886,0
1.531982,0.8173218,-0.4757024,0
1.548401,0.8377197,-0.4757024,0
1.565796,0.8593251,-0.4757024,0
1.583435,0.8812314,-0.4757024,0
1.598328,0.8997619,-0.4757024,0
1.615295,0.9207816,-0.4757024,0
1.632568,0.9422209,-0.439783,0
1.64917,0.9628753,-0.439783,-0.1816962
1.665955,0.9834424,-0.439783,-0.3301488
1.681824,1.002434,-0.439783,-0.4537337
1.69928,1.022774,-0.439783,-0.5863614
1.715515,1.040836,-0.439783,-0.6526753
1.732483,1.058902,-0.3589001,-0.7235104
1.748779,1.075193,-0.3589001,-0.7506388
1.765625,1.091117,-0.3589001,-0.7777672
1.782654,1.106103,-0.3589001,-0.793592
1.801697,1.121621,-0.3589001,-0.8041421
1.816223,1.132376,-0.2487559,-0.8116776
1.832336,1.143348,-0.2487559,-0.8214741
1.848877,1.153607,-0.2487559,-0.8259954
1.865662,1.162863,-0.2487559,-0.8395597
1.882202,1.170893,-0.2487559,-0.8463418
1.898926,1.177866,-0.2487559,-0.859906
1.915894,1.18376,-0.2487559,-0.8636739
1.932678,1.188397,-0.1408258,-0.8636739
1.948914,1.191753,-0.1408258,-0.8636739
1.965881,1.194107,-0.1408258,-0.8636739
1.982178,1.19521,-0.1408258,-0.8553846
1.998657,1.195223,-0.1408258,-0.8531239
2.017822,1.193937,-0.1408258,-0.8463418
2.032715,1.191766,-0.06646704,-0.8448346
2.048889,1.18843,-0.06646704,-0.842574
2.065552,1.1839,-0.06646704,-0.8192134
2.082886,1.178066,-0.06646704,-0.8064029
2.098816,1.171595,-0.06646704,-0.7664636
2.115967,1.163661,-0.06646704,-0.7257712
2.132568,1.154956,-0.04203686,-0.6850785
2.149048,1.145429,-0.04203686,-0.5961578
2.165405,1.135199,-0.04203686,-0.5223081
2.182312,1.123945,-0.04203686,-0.3783771
2.199158,1.11218,-0.04203686,-0.2638349
2.217407,1.099084,-0.04203686,-0.06866124
2.232849,1.087873,-0.06258319,0
2.248901,1.076267,-0.06258319,0
