Time,CV,FF,Input
0,0,-0.6633232,0
0.01470947,0,-0.6633232,0
0.03125,0,-0.6633232,0
0.04763794,0,-0.6633232,0
0.06445313,0,-0.6633232,0
0.08392334,0,-0.6633232,0
0.09762573,0,-0.6633232,0
0.1141052,0,-0.6633232,0
0.1309814,0,-0.5323752,0
0.1485901,0,-0.5323752,0
0.1645508,0,-0.5323752,0
0.1816406,0,-0.5323752,0
0.1982117,0,-0.5323752,0
0.2145386,0,-0.5323752,0
0.2318726,0,-0.4595022,0
0.2486877,0,-0.4595022,0
0.2650146,0,-0.4595022,0
0.2838745,0,-0.4595022,0
0.298584,0,-0.4595022,0
0.3145142,0,-0.4595022,0
0.330658,0,-0.4725033,0
0.3482361,0,-0.4725033,0
0.364563,0,-0.4725033,0
0.3815613,0,-0.4725033,0
0.3984985,0,-0.4725033,0.09955741
0.4156189,0.0001391977,-0.4725033,0.3278881
0.4311523,0.0006866754,-0.5658691,0.4974405
0.4480286,0.001910145,-0.5658691,0.7559139
0.4641724,0.004074747,-0.5658691,0.9269735
0.4812317,0.007593496,-0.5658691,1.089744
0.5,0.01314193,-0.5658691,1.297728
0.5143127,0.01905348,-0.8264648,1.405488
0.5314636,0.02781163,-0.8264648,1.47557
0.5476379,0.03804102,-0.8264648,1.53058
0.56427,0.0505413,-0.8264648,1.53058
0.5812073,0.06532214,-0.8264648,1.459745
0.5975952,0.08160577,-0.8264648,1.390417
0.6148376,0.1006058,-0.8264648,1.321842
0.6309814,0.1201963,-0.8264648,1.237443
0.6483765,0.1429474,-0.8264648,1.201272
0.6643372,0.1654489,-0.8264648,1.155304
0.6810608,0.1904485,-0.8264648,1.128175
0.6985779,0.2182637,-0.8264648,1.085976
0.7168884,0.2490162,-0.8264648,1.052065
0.7309265,0.2738732,-0.8911006,1.018909
0.7476807,0.3046904,-0.8911006,0.9857515
0.7646179,0.3372381,-0.8911006,0.9299877
0.7805176,0.3689448,-0.8911006,0.8945701
0.7984314,0.4058322,-0.8911006,0.8538774
0.8152466,0.4418008,-0.8911006,0.8350383
0.8317261,0.478062,-0.8735071,0.8131849
0.8482666,0.5155239,-0.8735071,0.7890707
0.8648376,0.5541654,-0.8735071,0.7574209
0.8807373,0.5921299,-0.8735071,0.7446103
0.8977661,0.6337026,-0.8735071,0.7310462
0.9144592,0.675566,-0.8735071,0.7106999
0.933075,0.7232158,-0.7850048,0.7099463
0.9481201,0.7627053,-0.7850048,0.7099463
0.9640503,0.8052714,-0.7850048,0.7091926
0.9813232,0.8523974,-0.7850048,0.7039178
0.9977417,0.8980784,-0.7850048,0.6775429
1.014465,0.9455533,-0.7850048,0.6647323
1.031189,0.9939452,-0.6631478,0.6511681
1.048035,1.043454,-0.6631478,0.6210254
1.064575,1.092954,-0.6631478,0.5931435
1.081329,1.143919,-0.6631478,0.5268296
1.098297,1.1961,-0.6631478,0.4597622
1.114502,1.246631,-0.6631478,0.3429594
1.133392,1.305948,-0.5529494,0.2389673
1.148224,1.352934,-0.5529494,0.1327143
1.164551,1.404653,-0.5529494,0
1.181458,1.458312,-0.5529494,0
1.197388,1.508783,-0.5529494,0
1.213959,1.561275,-0.5529494,0
1.23111,1.61558,-0.4859668,0
1.248108,1.669419,-0.4859668,0
1.264282,1.720602,-0.4859668,0
1.281189,1.77405,-0.4859668,0
1.298157,1.827712,-0.4859668,0
1.315216,1.881662,-0.4859668,0
1.333557,1.939682,-0.4671366,0
1.347687,1.984335,-0.4671366,0
1.36441,2.037171,-0.4671366,0
1.381409,2.090827,-0.4671366,0
1.397644,2.142068,-0.4671366,0
1.414337,2.194738,-0.4671366,0
1.431183,2.247845,-0.4751886,0
1.447723,2.300021,-0.4751886,-0.05961844
1.46463,2.353295,-0.4751886,-0.400984
1.480957,2.404057,-0.4751886,-0.6074613
1.497894,2.455997,-0.4751886,-0.8817595
1.514252,2.504946,-0.4751886,-1.038501
1.531647,2.555523,-0.4757024,-1.246486
1.55014,2.607368,-0.4757024,-1.339928
1.56427,2.645264,-0.4757024,-1.416038
1.580566,2.687412,-0.4757024,-1.481598
1.597717,2.72977,-0.4757024,-1.506466
1.615387,2.771114,-0.4757024,-1.52003
1.631104,2.805911,-0.439783,-1.520784
1.647552,2.840404,-0.439783,-1.521537
1.664734,2.874325,-0.439783,-1.522291
1.681183,2.90472,-0.439783,-1.523044
1.698517,2.934654,-0.439783,-1.523798
1.71402,2.959388,-0.439783,-1.52003
1.73114,2.98481,-0.3589001,-1.50948
1.747345,3.006816,-0.3589001,-1.49893
1.766968,3.031172,-0.3589001,-1.493655
1.781158,3.046767,-0.3589001,-1.480845
1.797668,3.06325,-0.3589001,-1.468034
1.814941,3.078441,-0.3589001,-1.44392
1.83136,3.0909,-0.2487559,-1.394185
1.847565,3.101428,-0.2487559,-1.342942
1.864624,3.110699,-0.2487559,-1.265325
1.881256,3.118005,-0.2487559,-1.220864
1.898315,3.123817,-0.2487559,-1.157565
1.913971,3.127662,-0.2487559,-1.119133
1.930756,3.130364,-0.1408258,-1.085976
1.948456,3.131655,-0.1408258,-1.042269
1.96637,3.131368,-0.1408258,-1.030966
1.981201,3.129807,-0.1408258,-1.024937
1.99762,3.126878,-0.1408258,-1.036241
2.014404,3.122505,-0.1408258,-1.046037
2.031311,3.116666,-0.06646704,-1.046037
2.04776,3.109593,-0.06646704,-1.046037
2.064392,3.101047,-0.06646704,-1.046037
2.081055,3.091101,-0.06646704,-1.042269
2.098206,3.079436,-0.06646704,-1.035487
2.11499,3.066555,-0.06646704,-1.018155
2.131683,3.052415,-0.04203686,-1.000069
2.148254,3.037016,-0.04203686,-0.9669124
2.164642,3.020527,-0.04203686,-0.9201912
2.183929,2.999736,-0.04203686,-0.8199669
2.198669,2.98272,-0.04203686,-0.7317997
2.214478,2.963676,-0.04203686,-0.6285611
2.231232,2.942658,-0.06258319,-0.5140191
2.247742,2.921299,-0.06258319,-0.3271345
2.264282,2.899456,-0.06258319,-0.1990282
2.280945,2.877223,-0.06258319,-0.02118651
2.297363,2.855286,-0.06258319,0
2.314301,2.832653,-0.06258319,0
2.331116,2.810165,-0.1508932,0
2.347656,2.788076,-0.1508932,0
2.365845,2.76381,-0.1508932,0
2.382965,2.740963,-0.1508932,0
2.398193,2.720621,-0.1508932,0
2.414948,2.698282,-0.1508932,0
2.431305,2.676474,-0.1811709,0
2.448425,2.653679,-0.1811709,0
2.464508,2.63224,-0.1811709,0
2.481628,2.609429,-0.1811709,0
2.498352,2.587164,-0.1811709,0
2.514801,2.56527,-0.1811709,0
2.531677,2.542816,-0.2021848,0
2.54834,2.520646,-0.2021848,0
2.565247,2.498159,-0.2021848,0
2.581238,2.476902,-0.2021848,0
2.600616,2.451163,-0.2021848,0
2.61499,2.432081,-0.2321494,0
2.63147,2.410186,-0.2321494,0
2.648651,2.387399,-0.2321494,0
2.665283,2.365335,-0.2321494,0
2.681335,2.344016,-0.2321494,0
2.698395,2.321396,-0.2321494,0
2.714447,2.300113,-0.2321494,0
2.731659,2.277295,-0.29051,0
2.748566,2.254931,-0.29051,0
2.765198,2.232877,-0.29051,0
2.781616,2.211164,-0.29051,0
2.80014,2.186615,-0.29051,0
2.814728,2.167335,-0.3837545,0
2.831482,2.145187,-0.3837545,0
2.848358,2.122877,-0.3837545,0.1839569
2.865082,2.100994,-0.3837545,0.3309024
2.881165,2.080448,-0.3837545,0.4672979
2.898438,2.058951,-0.3837545,0.6511681
2.914459,2.039935,-0.3837545,0.7528996
2.931763,2.02038,-0.497724,0.8297633
2.948578,2.002568,-0.497724,0.8885415
2.965485,1.985862,-0.497724,0.8945701
2.981476,1.971246,-0.497724,0.8697024
2.998871,1.956521,-0.497724,0.8380526
3.016907,1.942523,-0.497724,0.8154457
3.032135,1.93179,-0.6013194,0.7943457
3.048004,1.921539,-0.6013194,0.7792744
3.065308,1.911391,-0.6013194,0.7664636
3.081543,1.902902,-0.6013194,0.7604352
3.097992,1.895294,-0.6013194,0.7596816
3.115723,1.888169,-0.6013194,0.752146
3.131287,1.88292,-0.6605175,0.7461175
3.147675,1.878307,-0.6605175,0.7250177
3.164612,1.874515,-0.6605175,0.684325
3.181458,1.87169,-0.6605175,0.6308217
3.197693,1.869795,-0.6605175,0.5321046
3.2146,1.868531,-0.6605175,0.4627765
3.233917,1.867815,-0.6559471,0.3339166
3.248016,1.867731,-0.6559471,0.2472564
3.264282,1.867908,-0.6559471,0.1387429
3.281311,1.868279,-0.6559471,0.08750036
3.300476,1.868834,-0.6559471,0.04153285
3.319794,1.869467,-0.5949259,0.006115179
3.331146,1.869846,-0.5949259,0.006115179
3.347717,1.870404,-0.5949259,0.01591159
3.364868,1.871003,-0.5949259,0.06790763
3.382996,1.871739,-0.5949259,0.100311
3.398071,1.872482,-0.5949259,0.117643
3.414856,1.873453,-0.5949259,0.1274394
3.433533,1.874726,-0.511151,0.1297001
3.44873,1.875938,-0.511151,0.122918
3.463928,1.877289,-0.511151,0.09654315
3.481506,1.878972,-0.511151,0.06112557
3.497864,1.880625,-0.511151,0.02420077
3.514221,1.882308,-0.511151,0
3.531372,1.884072,-0.4511572,0
3.547272,1.885708,-0.4511572,0
3.564362,1.887465,-0.4511572,0
3.58136,1.88921,-0.4511572,0
3.597626,1.89088,-0.4511572,0
3.61441,1.892605,-0.4511572,0
3.630829,1.894291,-0.4533041,0
3.64978,1.896235,-0.4533041,0
3.66452,1.897747,-0.4533041,0
3.680908,1.899427,-0.4533041,0
3.697571,1.901137,-0.4533041,0
3.713959,1.902814,-0.4533041,0
3.731964,1.904661,-0.5290766,0
3.748016,1.906303,-0.5290766,0
3.764862,1.908027,-0.5290766,0
3.781952,1.909777,-0.5290766,0
3.79895,1.911516,-0.5290766,0
3.814545,1.913112,-0.5290766,0
3.831726,1.914869,-0.6557875,0
3.850281,1.916764,-0.6557875,0
3.865051,1.918273,-0.6557875,0
3.880951,1.919897,-0.6557875,0
3.897766,1.921615,-0.6557875,0
3.915771,1.923451,-0.6557875,0
3.931152,1.92502,-0.7845924,0
3.948059,1.926746,-0.7845924,0
3.964783,1.92845,-0.7845924,0
3.981201,1.930123,-0.7845924,0
3.998749,1.931912,-0.7845924,0
4.015015,1.93357,-0.7845924,0
4.031525,1.93525,-0.860512,0
4.049164,1.937045,-0.860512,0
4.067413,1.938902,-0.860512,0
4.082001,1.940386,-0.860512,0
4.098389,1.942054,-0.860512,0
4.114777,1.943721,-0.860512,0
4.131836,1.945454,-0.8454445,0
4.148468,1.947144,-0.8454445,0
4.166138,1.948938,-0.8454445,0
4.181183,1.950465,-0.8454445,0
4.198303,1.952202,-0.8454445,0
4.214447,1.953841,-0.8454445,0
4.231018,1.955521,-0.7337039,0
4.248566,1.957299,-0.7337039,0
4.264893,1.958955,-0.7337039,0
4.283752,1.960865,-0.7337039,0
4.297699,1.962278,-0.7337039,0
4.313812,1.963908,-0.7337039,0
4.331604,1.96571,-0.5531836,0
4.347015,1.967271,-0.5531836,0
4.363342,1.968921,-0.5531836,0
4.380676,1.970675,-0.5531836,0
4.397156,1.97234,-0.5531836,0
4.413971,1.97404,-0.5531836,0
4.430573,1.975717,-0.3520466,0
4.447205,1.977395,-0.3520466,0
4.46402,1.979092,-0.3520466,0
4.481445,1.980853,-0.3520466,0
4.499878,1.982713,-0.3520466,0
4.514069,1.984143,-0.3520466,0
4.531555,1.985906,-0.1775829,0
4.548462,1.98761,-0.1775829,0
4.564453,1.989222,-0.1775829,0
4.581818,1.99097,-0.1775829,0
4.597443,1.992542,-0.1775829,0
4.614532,1.994264,-0.1775829,0
4.631439,1.995963,-0.0572845,0
4.647583,1.997589,-0.0572845,0
4.664398,1.999278,-0.0572845,0
4.681396,2.000988,-0.0572845,0
4.697479,2.002602,-0.0572845,0
4.716614,2.004525,-0.0572845,0
4.731293,2.005998,0.009318888,0
4.748322,2.007709,0.009318888,0
4.764008,2.009283,0.009318888,0
4.781494,2.011036,0.009318888,0
4.798523,2.012744,0.009318888,0
4.814117,2.014309,0.009318888,0
4.830902,2.015989,0.04507736,0
4.848785,2.017782,0.04507736,0
4.864105,2.019316,0.04507736,0
4.881317,2.021039,0.04507736,0
4.897705,2.02268,0.04507736,0
4.916901,2.0246,0.04507736,0
4.930542,2.025964,0.07968836,0
4.948456,2.027756,0.07968836,0
4.964783,2.029388,0.07968836,0
4.981262,2.031033,0.07968836,0
4.997833,2.032687,0.07968836,0
5.014191,2.03432,0.07968836,0
5.031036,2.036002,0.1326403,0
5.047363,2.037633,0.1326403,0
5.065338,2.039425,0.1326403,0
5.08139,2.041024,0.1326403,0
5.097351,2.042616,0.1326403,0
5.114349,2.044309,0.1326403,0
5.133728,2.046242,0.2033073,0
5.147583,2.047621,0.2033073,0
5.165009,2.049355,0.2033073,0
5.181549,2.051,0.2033073,0
5.198456,2.052681,0.2033073,0
5.214539,2.054283,0.2033073,0
5.231873,2.056006,0.2727617,0
5.24823,2.057631,0.2727617,0
5.265533,2.05935,0.2727617,0
5.281616,2.060947,0.2727617,0
5.298828,2.062656,0.2727617,0
5.314636,2.064225,0.2727617,-0.1070931
5.333801,2.065971,0.3156128,-0.3218596
5.34845,2.066868,0.3156128,-0.4446909
5.36496,2.067359,0.3156128,-0.543408
5.382355,2.067125,0.3156128,-0.6345897
5.398346,2.066057,0.3156128,-0.6587038
5.415314,2.064062,0.3156128,-0.6368502
5.431396,2.061333,0.3150243,-0.5841007
5.448242,2.057712,0.3150243,-0.5501903
5.464386,2.05352,0.3150243,-0.498194
5.481384,2.048452,0.3150243,-0.4627765
5.498596,2.042661,0.3150243,-0.4122875
5.514587,2.036742,0.3150243,-0.3821449
5.532196,2.029709,0.2726229,-0.3399451
5.55127,2.021536,0.2726229,-0.2992526
5.56488,2.015324,0.2726229,-0.2676028
5.581726,2.007361,0.2726229,-0.208071
5.597931,1.999419,0.2726229,-0.1651177
5.614838,1.990913,0.2726229,-0.1214109
5.631439,1.982412,0.2079532,-0.04756138
5.648193,1.97376,0.2079532,0
5.665466,1.964838,0.2079532,0
5.681183,1.956736,0.2079532,0
5.698273,1.947921,0.2079532,0
5.714935,1.93934,0.2079532,0
5.731598,1.930753,0.1478517,0
5.748535,1.922026,0.1478517,0
5.766846,1.912594,0.1478517,0
5.781952,1.904816,0.1478517,0
5.797729,1.896709,0.1478517,0
5.814636,1.888001,0.1478517,-0.02420077
5.831696,1.879206,0.1115711,-0.08674683
5.848114,1.870607,0.1115711,-0.1349751
5.865662,1.861249,0.1115711,-0.1741605
5.882324,1.8521,0.1115711,-0.242735
5.89859,1.842869,0.1115711,-0.2781527
5.915192,1.833087,0.1115711,-0.326381
5.931244,1.823222,0.09982213,-0.3422058
5.948242,1.812312,0.09982213,-0.3587843
5.964691,1.80128,0.09982213,-0.36632
5.983704,1.787968,0.09982213,-0.36632
5.997833,1.77762,0.09982213,-0.3602914
6.014374,1.765096,0.09982213,-0.3595379
6.031158,1.751905,0.09386504,-0.3595379
6.048218,1.738001,0.09386504,-0.3580308
6.06424,1.724504,0.09386504,-0.3482343
6.08139,1.709557,0.09386504,-0.3459737
