Time,CV,FF,Input
0,0,-0.6633232,0
0.01507568,0,-0.6633232,0
0.03192139,0,-0.6633232,0
0.0489502,0,-0.6633232,0
0.06512451,0,-0.6633232,0
0.08270264,0,-0.6633232,0
0.09887695,0,-0.6633232,0
0.1152954,0,-0.6633232,0
0.1320801,0,-0.5323752,0
0.1488037,0,-0.5323752,0
0.1654053,0,-0.5323752,0
0.18396,0,-0.5323752,0
0.1986084,0,-0.5323752,0
0.2151489,0,-0.5323752,0
0.2321167,0,-0.4595022,0
0.2488403,0,-0.4595022,0
0.2651978,0,-0.4595022,0
0.2819824,0,-0.4595022,0
0.2984619,0,-0.4595022,0
0.3150635,0,-0.4595022,0
0.3321533,0,-0.4725033,0
0.3490601,0,-0.4725033,0
0.3652954,0,-0.4725033,0
0.3820801,0,-0.4725033,0
0.401001,0,-0.4725033,0
0.4154053,0,-0.5658691,0
0.4318848,0,-0.5658691,0
0.4486694,0,-0.5658691,0
0.4655762,0,-0.5658691,0
0.4821167,0,-0.5658691,0
0.4987793,0,-0.5658691,0
0.5151978,0,-0.5658691,0.05886483
0.5319824,7.822907E-05,-0.8264648,0.1477857
0.5483398,0.0003500684,-0.8264648,0.242735
0.5651855,0.0009537154,-0.8264648,0.3617986
0.5823975,0.002074151,-0.8264648,0.4341409
0.6015625,0.004015138,-0.8264648,0.5147726
0.616394,0.006219801,-0.8264648,0.5532045
0.6328125,0.009312509,-0.8264648,0.5825934
0.6491699,0.01315132,-0.8264648,0.5908828
0.6653442,0.01769673,-0.8264648,0.5908828
0.6817627,0.02306782,-0.8264648,0.5908828
0.6982422,0.02922577,-0.8264648,0.5705364
0.715271,0.0363478,-0.8264648,0.5569723
0.7315063,0.0439089,-0.8911006,0.5411475
0.7484741,0.05250547,-0.8911006,0.5336117
0.7649536,0.06156962,-0.8911006,0.5290904
0.7814941,0.07136449,-0.8911006,0.5230619
0.7987061,0.08226934,-0.8911006,0.4899049
0.8168335,0.0944994,-0.8911006,0.4642836
0.8327637,0.1059009,-0.8735071,0.4288659
0.8483887,0.1175731,-0.8735071,0.3700878
0.8655396,0.1308536,-0.8735071,0.3188453
0.8820801,0.1441199,-0.8735071,0.2676028
0.8987427,0.1578089,-0.8735071,0.1982747
0.9154053,0.1717871,-0.8735071,0.1477857
0.9317627,0.1856613,-0.7850048,0.06941476
0.9485474,0.2000268,-0.7850048,0.02721504
0.965271,0.2143676,-0.7850048,0
0.9818726,0.2285884,-0.7850048,0
0.9985962,0.2428672,-0.7850048,0
1.015137,0.2570574,-0.7850048,0
1.034119,0.2732933,-0.6631478,0
1.048889,0.285939,-0.6631478,0
1.065247,0.2999007,-0.6631478,0
1.082214,0.314424,-0.6631478,0
1.098755,0.3285301,-0.6631478,0
1.116089,0.3433238,-0.6631478,0
1.133179,0.35792,-0.5529494,0
1.149048,0.3714623,-0.5529494,0
1.166077,0.3860054,-0.5529494,0
1.182007,0.399607,-0.5529494,0
1.198914,0.4139971,-0.5529494,0
1.215515,0.4281774,-0.5529494,0
1.235107,0.4448589,-0.4859668,0
1.248901,0.4566252,-0.4859668,0
1.265564,0.4707906,-0.4859668,0
1.282043,0.4848348,-0.4859668,0
1.298706,0.4990232,-0.4859668,0
1.315125,0.5129624,-0.4859668,0
1.332092,0.527419,-0.4671366,0
1.348633,0.5414706,-0.4671366,0
1.365234,0.5555679,-0.4671366,0
1.382141,0.5699533,-0.4671366,0
1.398621,0.5839522,-0.4671366,0
1.415466,0.5982342,-0.4671366,0
1.432007,0.61226,-0.4751886,0
1.450745,0.6281884,-0.4751886,0
1.465393,0.640615,-0.4751886,0
1.481995,0.6546814,-0.4751886,0
1.499207,0.6692411,-0.4751886,0
1.515625,0.6831622,-0.4751886,0
1.532166,0.6971782,-0.4757024,0
1.548828,0.7112792,-0.4757024,0
1.565002,0.7249781,-0.4757024,0
1.582153,0.7394936,-0.4757024,0
1.598877,0.7536435,-0.4757024,0
1.615662,0.7678434,-0.4757024,0
1.63208,0.7817378,-0.439783,0
1.650879,0.7975884,-0.439783,0
1.665405,0.8098779,-0.439783,0
1.682251,0.8240979,-0.439783,0
1.698547,0.8378477,-0.439783,-0.006115179
1.715515,0.8521608,-0.439783,-0.1824497
1.731995,0.8658059,-0.3589001,-0.2578064
1.748901,0.8794664,-0.3589001,-0.3060346
1.765015,0.8921012,-0.3589001,-0.3286416
1.782227,0.9050973,-0.3589001,-0.3354238
1.799072,0.917377,-0.3589001,-0.3369309
1.815308,0.9287341,-0.3589001,-0.3369309
1.832092,0.9400572,-0.2487559,-0.3369309
1.851074,0.9523453,-0.2487559,-0.3309024
1.865295,0.9610888,-0.2487559,-0.3248738
1.882385,0.9712232,-0.2487559,-0.3143239
1.899109,0.9807228,-0.2487559,-0.3015132
1.915527,0.989616,-0.2487559,-0.2969918
1.932068,0.9982281,-0.1408258,-0.2917169
1.948792,1.006509,-0.1408258,-0.2917169
1.965393,1.014354,-0.1408258,-0.2917169
1.982178,1.021868,-0.1408258,-0.2917169
1.999084,1.029051,-0.1408258,-0.3030204
2.015259,1.035506,-0.1408258,-0.3248738
2.032227,1.041862,-0.06646704,-0.3437129
2.050659,1.048236,-0.06646704,-0.3708413
2.065125,1.052774,-0.06646704,-0.3851591
2.082092,1.057618,-0.06646704,-0.407766
2.09845,1.061743,-0.06646704,-0.4288659
2.115234,1.065412,-0.06646704,-0.4439372
2.131836,1.068443,-0.04203686,-0.4507195
2.148499,1.07089,-0.04203686,-0.4522265
2.165527,1.072759,-0.04203686,-0.4522265
2.182068,1.073961,-0.04203686,-0.4394159
2.199158,1.074603,-0.04203686,-0.4311267
2.216187,1.074637,-0.04203686,-0.4183161
2.232361,1.074115,-0.06258319,-0.407766
2.251221,1.072903,-0.06258319,-0.3964627
2.26532,1.071491,-0.06258319,-0.3949555
2.282532,1.069302,-0.06258319,-0.3949555
2.298584,1.066738,-0.06258319,-0.3889269
2.315308,1.063559,-0.06258319,-0.3859127
2.332153,1.059845,-0.1508932,-0.3798841
2.348572,1.055715,-0.1508932,-0.3723486
2.365723,1.050884,-0.1508932,-0.3648128
2.382141,1.045779,-0.1508932,-0.3617986
2.398865,1.040094,-0.1508932,-0.3617986
2.415649,1.033906,-0.1508932,-0.3602914
2.431885,1.027432,-0.1811709,-0.3602914
2.448914,1.020169,-0.1811709,-0.3565236
2.467957,1.011502,-0.1811709,-0.3497415
2.481873,1.004743,-0.1811709,-0.3459737
2.498779,0.9961021,-0.1811709,-0.3361773
2.518677,0.9854126,-0.1811709,-0.3293952
2.53717,0.9748728,-0.2021848,-0.3218596
2.549133,0.9677402,-0.2021848,-0.303774
2.565063,0.957927,-0.2021848,-0.2894562
2.58197,0.9471588,-0.2021848,-0.2683563
2.59845,0.9363323,-0.2021848,-0.2472564
2.615662,0.9246722,-0.2021848,-0.2261566
2.632202,0.9131243,-0.2321494,-0.1914925
2.648438,0.9015707,-0.2321494,-0.1643641
2.665405,0.8893037,-0.2321494,-0.1070931
2.684143,0.875551,-0.2321494,-0.04530063
2.699158,0.8644887,-0.2321494,0
2.715393,0.8525549,-0.2321494,0
2.731934,0.8403392,-0.29051,0
2.74884,0.8279275,-0.29051,0
2.765076,0.8159568,-0.29051,0
2.782104,0.8034564,-0.29051,0
2.799438,0.7907044,-0.29051,0
2.815247,0.779088,-0.29051,0
2.83197,0.7668228,-0.3837545,0
2.848389,0.7547632,-0.3837545,0
2.865479,0.7422063,-0.3837545,0
2.884216,0.728433,-0.3837545,0
2.898438,0.7180138,-0.3837545,0
2.915344,0.7056174,-0.3837545,0
2.932312,0.693167,-0.497724,0
2.948486,0.681307,-0.497724,0
2.965515,0.6688492,-0.497724,0
2.982056,0.65672,-0.497724,0
2.999084,0.6442413,-0.497724,0
3.015686,0.6321112,-0.497724,0
3.03186,0.6202592,-0.6013194,0
3.048706,0.6079168,-0.6013194,0
3.065186,0.5958689,-0.6013194,0
3.082031,0.5835851,-0.6013194,0
3.100952,0.5697361,-0.6013194,0
3.115234,0.5593141,-0.6605175,0
3.132324,0.5468221,-0.6605175,0
3.148315,0.5351385,-0.6605175,0
3.165222,0.5228084,-0.6605175,0
3.182068,0.5105174,-0.6605175,0
3.199036,0.4981658,-0.6605175,0
3.215637,0.4860488,-0.6605175,0
3.231689,0.4743222,-0.6559471,0
3.248596,0.4620181,-0.6559471,0
3.264954,0.4501,-0.6559471,0
3.281921,0.4377583,-0.6559471,0
3.298767,0.4254734,-0.6559471,0
3.317261,0.4120499,-0.6559471,0
3.332092,0.4012432,-0.5949259,0
3.348328,0.3894555,-0.5949259,0
3.365234,0.3771428,-0.5949259,0
3.38208,0.3649085,-0.5949259,0
3.398376,0.3530794,-0.5949259,0
3.415588,0.3405795,-0.5949259,0.04002571
3.432373,0.3284477,-0.511151,0.1063396
3.448547,0.3169211,-0.511151,0.2035496
3.465332,0.3051817,-0.511151,0.2736313
3.481995,0.2939363,-0.511151,0.3452201
3.499084,0.2828589,-0.511151,0.4439372
3.517334,0.2717208,-0.511151,0.5012082
3.532227,0.2632951,-0.4511572,0.5645079
3.54895,0.2545282,-0.4511572,0.6458931
3.565125,0.2468621,-0.4511572,0.6978893
3.582214,0.2397098,-0.4511572,0.7770137
3.598389,0.2339876,-0.4511572,0.8305169
3.615723,0.2289833,-0.4511572,0.9088879
3.632202,0.2254682,-0.4533041,0.9578696
3.648865,0.2231843,-0.4533041,0.9940408
3.665344,0.2222428,-0.4533041,1.042269
3.682068,0.222678,-0.4533041,1.06789
3.698425,0.2245144,-0.4533041,1.08899
3.715393,0.227868,-0.4533041,1.106322
3.73407,0.2332598,-0.5290766,1.130436
3.748718,0.2389691,-0.5290766,1.140233
3.765442,0.2468455,-0.5290766,1.144754
3.781982,0.2561594,-0.5290766,1.144754
3.798889,0.267215,-0.5290766,1.134958
3.815063,0.2793077,-0.5290766,1.116119
3.832458,0.2937909,-0.6557875,1.068644
3.848816,0.3089086,-0.6557875,1.04453
3.865234,0.3253831,-0.6557875,1.036241
3.882202,0.3438447,-0.6557875,1.036994
3.898376,0.3627964,-0.6557875,1.036994
3.915405,0.3841023,-0.6557875,1.036994
3.933838,0.4087858,-0.7845924,1.036994
3.948547,0.4297377,-0.7845924,1.001576
3.965332,0.4549274,-0.7845924,0.974448
3.982117,0.4813796,-0.7845924,0.9269735
3.998657,0.5087615,-0.7845924,0.8606596
4.015381,0.5374832,-0.7845924,0.8109241
4.032288,0.5676206,-0.860512,0.7129606
4.048645,0.5977798,-0.860512,0.6285611
4.065125,0.6289651,-0.860512,0.5275831
4.082031,0.6617244,-0.860512,0.3700878
4.099121,0.6951793,-0.860512,0.2630814
4.115173,0.7270955,-0.860512,0.1153824
4.132019,0.7606479,-0.8454445,0.007622312
4.150513,0.7974108,-0.8454445,0
4.165344,0.8269168,-0.8454445,0
4.18219,0.8604571,-0.8454445,0
4.198425,0.8928202,-0.8454445,0
4.215332,0.926439,-0.8454445,0
4.231689,0.9589426,-0.7337039,0
4.248535,0.9924331,-0.7337039,0
4.265442,1.026023,-0.7337039,0
4.281799,1.058581,-0.7337039,0
4.298523,1.09181,-0.7337039,0
4.315735,1.125896,-0.7337039,0
4.331787,1.157825,-0.5531836,0
4.348816,1.191597,-0.5531836,0
4.367371,1.228421,-0.5531836,0
4.382324,1.257958,-0.5531836,0
4.398499,1.29007,-0.5531836,0
4.415161,1.323128,-0.5531836,0
4.432129,1.356738,-0.3520466,0
4.448486,1.389013,-0.3520466,0
4.465332,1.422362,-0.3520466,0
4.482544,1.456458,-0.3520466,0
4.498535,1.48807,-0.3520466,0
4.515381,1.521419,-0.3520466,0
4.531738,1.553681,-0.1775829,0
4.548645,1.587132,-0.1775829,0
4.56543,1.620276,-0.1775829,0
4.584534,1.657972,-0.1775829,0
4.598938,1.686404,-0.1775829,0
4.615173,1.71853,-0.1775829,0
4.632141,1.75201,-0.0572845,0
4.648804,1.784846,-0.0572845,-0.003100913
4.665405,1.817517,-0.0572845,-0.01365084
4.682007,1.850278,-0.0572845,-0.03249005
4.698547,1.882818,-0.0572845,-0.04454711
4.715271,1.915542,-0.0572845,-0.05585056
4.731689,1.947636,0.009318888,-0.06941476
4.748596,1.980651,0.009318888,-0.08599322
4.765381,2.013307,0.009318888,-0.09428249
4.78186,2.045161,0.009318888,-0.09955741
4.801819,2.083556,0.009318888,-0.1116145
4.815491,2.10981,0.04507736,-0.1199038
4.831909,2.141036,0.04507736,-0.1214109
4.848755,2.172961,0.04507736,-0.1281929
4.865173,2.204008,0.04507736,-0.1319608
4.881958,2.235379,0.04507736,-0.1349751
4.898987,2.267119,0.04507736,-0.1425107
4.9151,2.29698,0.04507736,-0.1492928
4.932129,2.32821,0.07968836,-0.1583356
4.948303,2.357747,0.07968836,-0.1749141
4.965332,2.388505,0.07968836,-0.1922461
4.982361,2.419043,0.07968836,-0.2276637
5.000732,2.451638,0.07968836,-0.2660956
5.01532,2.477142,0.1326403,-0.303774
5.03186,2.5058,0.1326403,-0.3791306
5.048645,2.534281,0.1326403,-0.4250981
5.06543,2.562115,0.1326403,-0.5064833
5.082092,2.589105,0.1326403,-0.5441617
5.098694,2.615296,0.1326403,-0.6097218
5.114929,2.640121,0.1326403,-0.6443859
5.132202,2.665568,0.2033073,-0.6805572
