Time,CV,FF,Input
0,-0.02583378,0.7532292,0
0.01633072,-0.0259434,0.7532292,0
0.03315353,-0.02605629,0.7532292,0
0.04951477,-0.02616603,0.7532292,0
0.06674576,-0.0262816,0.7532292,0
0.08745575,-0.02642044,0.7532292,0
0.0998497,-0.02650347,0.7532292,0
0.1169472,-0.02661801,0.7532292,0
0.13274,-0.02672377,0.6175454,0
0.1498909,-0.0268386,0.6175454,0
0.1669159,-0.02695256,0.6175454,0
0.1835518,-0.02706384,0.6175454,0
0.1996803,-0.02717171,0.6175454,0
0.2162056,-0.02728219,0.6175454,0
0.23283,-0.02739331,0.4623531,0
0.2499542,-0.02750773,0.4623531,0
0.266037,-0.02761515,0.4623531,0
0.2830734,-0.0277289,0.4623531,0
0.301918,-0.02785469,0.4623531,0
0.3167763,-0.02795382,0.359533,0
0.3331299,-0.0280629,0.359533,0
0.3500557,-0.02817576,0.359533,0
0.366478,-0.02828522,0.359533,0
0.3831482,-0.02839632,0.359533,0
0.3996468,-0.02850622,0.359533,0
0.4162025,-0.02861647,0.359533,0
0.4328041,-0.028727,0.3534333,0
0.4499397,-0.02884103,0.3534333,0
0.4659119,-0.02894728,0.3534333,0
0.482872,-0.02906007,0.3534333,0
0.4998474,-0.02917293,0.3534333,0
0.5182724,-0.02929537,0.3534333,0
0.5330353,-0.02939346,0.5610974,0
0.5492439,-0.0295011,0.5610974,0
0.5663414,-0.02961461,0.5610974,0
0.5830574,-0.02972557,0.5610974,0
0.6002083,-0.02983937,0.5610974,0
0.6163254,-0.02994626,0.5610974,0
0.6332512,-0.03005849,0.5610974,0
0.6497726,-0.03016798,0.5610974,0
0.6669693,-0.03028193,0.5610974,0
0.6829758,-0.03038796,0.5610974,0
0.7000351,-0.03050091,0.5610974,0
0.7178574,-0.03061889,0.6468045,0
0.7328339,-0.03071798,0.6468045,0
0.7501869,-0.03083278,0.6468045,0
0.7660828,-0.03093789,0.6468045,0
0.7831841,-0.03105096,0.6468045,0
0.8000679,-0.03116253,0.6468045,0
0.8161774,-0.03126894,0.6347885,0
